stratum,label,n,share,improved_frac,p5,p25,p50,p75,p95
clean,< 3,4671933,0.2746029426666444,0.8679510172770029,0.45183454448011207,0.7793093473847836,1.0701300413312826,1.6029388495363597,3.0306658885205544
mid,3–10,12073053,0.7096197400027696,0.8337711264913689,0.7394108367124076,1.2447715582465262,1.7567175770070498,2.7884630864179467,5.695906688787579
outlier,≥ 10,268426,0.01577731733058601,0.9602497522594682,2.1937045144471052,4.06119618495163,7.181711723824694,12.278570043776526,26.108275570516625
