cameras_in_solve,sess_p25,sess_p50,sess_p75,sess_whisker_lo,sess_whisker_hi,sess_min,sess_max,n_sessions_drawn,agg_p25,agg_p50,agg_p75,n_keypoint_solves,n_sessions
2,4.2497769702809345,4.738194195100467,4.876253111537931,3.6544206975465787,5.464798860375383,3.6544206975465787,6.952027269577312,50,2.565071129957028,4.738194195100467,8.683787469834826,170134120,50
3,2.675825078670872,2.8898746400415303,2.962547142979094,2.355239790664741,3.3762941391034977,2.355239790664741,3.9775290010711073,50,1.7089520716980227,2.8898746400415303,4.81195199355858,170134120,50
4,1.8422242677345997,1.9088501266368945,1.9508267917204716,1.691282370187264,2.075543958468044,1.691282370187264,2.6104613692719916,50,1.1385753469251347,1.9088501266368945,3.1890788708271147,85067060,50
5,1.1556205052704325,1.1945218215019757,1.2583293510574345,1.0391087629489464,1.3704132903457835,1.0391087629489464,1.9622887896472194,50,0.6146474650279612,1.1945218215019757,2.2356647101109566,17013412,50
