cameras,traditional,measured,aided_tau5,free_tau5,aided_tau10,free_tau10
2,30,False,30.0,0.0,30.0,0.0
3,45,False,35.8967908136134,9.1032091863866,30.818135835849237,14.181864164150763
4,60,False,41.79358162722679,18.206418372773207,31.63627167169847,28.36372832830153
5,75,True,47.69037244084019,27.309627559159807,32.45440750754771,42.54559249245229
6,90,False,53.587163254453586,36.412836745546414,33.27254334339694,56.72745665660306
7,105,False,59.483954068066986,45.516045931933014,34.09067917924617,70.90932082075383
8,120,False,65.38074488168039,54.619255118319614,34.90881501509541,85.09118498490459
