cameras,dlt_p25,dlt_p50,dlt_p75,dlt_ci_lo,dlt_ci_hi,dlt_ci_coverage,dlt_n_ci_sessions,ba_p25,ba_p50,ba_p75,ba_ci_lo,ba_ci_hi,ba_ci_coverage,ba_n_ci_sessions,paired_ba_minus_dlt_mean,paired_ba_minus_dlt_sd,paired_ba_lower_in_n,n_sessions,n_values,ratio_ba_over_dlt,stride,keypoints_used
2,2.6355067152821468,4.318906022227249,6.2448226830008,4.112096108759079,4.402304201017588,0.9671608624357315,50,2.7493408748642927,4.4239852974520755,6.383531387996164,4.224242317589863,4.533160015880019,0.9671608624357315,50,0.11112101254062015,0.03144041531042318,0,50,510402360,1.0243300675411866,15,17013412
3,2.3250681453538498,3.656504103423919,5.083171876791197,3.4810791566919264,3.7354434498562363,0.9671608624357315,50,2.1698849883274676,3.5349938706160615,5.098081006494071,3.3713354005603575,3.5960046118860953,0.9671608624357315,50,-0.06939343257579783,0.1052872557961853,33,50,340268240,0.9667687415709239,15,17013412
4,2.0566678180206477,3.3355290931384527,4.716708811161338,3.1565021867884053,3.3664602661152494,0.9671608624357315,50,1.9039687980560798,3.1468664369786676,4.689745434904118,3.04412686800797,3.2330917736230798,0.9671608624357315,50,-0.09804018968320541,0.10810349089367763,34,50,85067060,0.9434384618176814,15,17013412
