cameras_in_solve,p25,p50,p75,n_keypoint_solves,n_sessions
2,2.6355067152821468,4.318906022227249,6.2448226830008,510402360,50
3,2.3250681453538498,3.656504103423919,5.083171876791197,340268240,50
4,2.0566678180206477,3.3355290931384527,4.716708811161338,85067060,50
