corpus,half,n_sessions,near_sessions,near_onsets,near_peak,far_peak,near_minus_far,null_peak
mouse-dyad-10m,h1,56,30,1837,3.8324319793574473,1.2835636930252798,2.5488682863321674,1.0366127112587695
mouse-dyad-10m,h2,56,18,1065,3.847528672861565,1.1915581098025037,2.6559705630590615,1.0268153555650215
slap-2m,h1,35,13,699,1.417754184035593,1.149527872446057,0.268226311589536,1.0211472781913065
slap-2m,h2,35,13,669,1.303959197526398,1.147251802024856,0.1567073955015419,1.0389122577831702
scn2a,h1,29,29,3281,1.5351933385879297,1.2861200636008112,0.2490732749871185,1.022959778864842
scn2a,h2,29,29,1936,1.6080604002800625,1.5819163806047354,0.02614401967532709,1.0299415832470018
