corpus,condition,lag_s,p25,p50,p75,n_sessions
Mouse-Dyad-10M,near,-5.003224448246273,0.8628511085573815,1.3526967541486257,1.7928149638088509,35
Mouse-Dyad-10M,near,-4.996562365092816,0.8628511085573815,1.3526967541486257,1.850716398763593,35
Mouse-Dyad-10M,near,-4.989900281939359,0.7718090624995002,1.3526967541486257,1.7928149638088509,35
Mouse-Dyad-10M,near,-4.9832381987859025,0.7706359652775483,1.274809966755944,1.7928149638088509,35
Mouse-Dyad-10M,near,-4.9765761156324455,0.7407623505224772,1.280325031416627,1.7928149638088509,35
Mouse-Dyad-10M,near,-4.9699140324789886,0.7696927959659343,1.2812122542515607,1.7928149638088509,35
Mouse-Dyad-10M,near,-4.963251949325531,0.7700611926207077,1.2812122542515607,1.7928149638088509,35
Mouse-Dyad-10M,near,-4.956589866172074,0.8405402957360726,1.2812122542515607,1.7138286535032032,35
Mouse-Dyad-10M,near,-4.949927783018617,0.8411971868147212,1.2812122542515607,1.7928149638088509,35
Mouse-Dyad-10M,near,-4.94326569986516,0.8411971868147212,1.2812122542515607,1.7928149638088509,35
Mouse-Dyad-10M,near,-4.936603616711703,0.8411971868147212,1.2812122542515607,1.8141716374603918,35
Mouse-Dyad-10M,near,-4.929941533558246,0.8411971868147212,1.2812122542515607,1.8141716374603918,35
Mouse-Dyad-10M,near,-4.923279450404789,0.8411971868147212,1.2812122542515607,1.7408106686462714,35
Mouse-Dyad-10M,near,-4.916617367251331,0.8411971868147212,1.2812122542515607,1.7408106686462714,35
Mouse-Dyad-10M,near,-4.909955284097874,0.7487882951715171,1.2812122542515607,1.7408106686462714,35
Mouse-Dyad-10M,near,-4.903293200944417,0.7481977261479569,1.2812122542515607,1.7137509649382365,35
Mouse-Dyad-10M,near,-4.89663111779096,0.7481977261479569,1.4150163519213341,1.712716467435925,35
Mouse-Dyad-10M,near,-4.889969034637503,0.7608842395202801,1.4030532452818067,1.7240955834176777,35
Mouse-Dyad-10M,near,-4.883306951484046,0.7621429381548015,1.4025311613704752,1.7240955834176777,35
Mouse-Dyad-10M,near,-4.876644868330589,0.7621429381548015,1.41580722623508,1.7240955834176777,35
