corpus,n,L_mm,arena_bl,frac_within_2bl
mouse-dyad-10m,56,87.21300158638458,10.084009832752285,0.3142233914004038
slap-2m,35,124.85404527429621,4.467308687732563,0.5920289855072464
scn2a,29,206.29824491392452,4.006251778876527,0.8978202247191012
