corpus,session,start_frac,dur_s,min_nose_gap,lag_s,height_match,ordinal
mouse-dyad-10m,20250827_152238,0.14782623183898344,0.33976194013394617,0.24452886918205496,0.3730719342647252,0.6402586838646785,1
mouse-dyad-10m,20250827_152238,0.23667081352468122,0.6661998826155807,0.18620712027599576,0.20652196361083003,0.6724984921838936,2
mouse-dyad-10m,20250827_152238,0.23761496423334963,0.8727218462264107,0.32167148427600273,1.3390617640573172,0.7184845876462348,3
mouse-dyad-10m,20250827_152238,0.31356355800417646,0.8860458438787223,0.07958834887205063,1.0792438098372408,0.811394048181279,4
mouse-dyad-10m,20250827_152238,0.3144521704358644,1.971951652542119,0.030970563179407433,2.14516362202217,0.8289497514098082,5
mouse-dyad-10m,20250827_152238,0.5153674412405029,3.0178854682485805,0.006675689308941245,0.1798739683062068,0.8612076344227011,6
mouse-dyad-10m,20250827_152238,0.6091660372328609,1.1591877957511105,0.03637866692736073,0.5462839037447762,0.7870832039611565,7
mouse-dyad-10m,20250827_152238,0.6690307459901365,1.1258778016203315,0.18833883137837706,0.41304392722166006,0.7574194232147584,8
mouse-dyad-10m,20250827_152238,0.8588994535033545,0.8127638567910085,0.18589144985643344,0.4996499119616855,0.6782003295179811,9
mouse-dyad-10m,20250827_152238,0.8678799928911005,0.7461438685294504,0.1877964767561889,0.5262979072663088,0.7626116590941521,10
mouse-dyad-10m,20250827_152238,0.8733671746567735,1.1858357910557338,0.09246774527595134,0.2598179542200765,0.7610058967446254,11
mouse-dyad-10m,20250827_162428,0.1002793559817169,0.7794543819326472,0.32161598319470563,0.6262283068518704,0.7734386411901492,1
mouse-dyad-10m,20250827_172440,0.4450288240455853,0.26648030810453227,0.29850763887941595,0.059958069323519755,0.6901246390447966,1
mouse-dyad-10m,20250829_134647,0.11668535023363708,0.4530153165810934,0.0866459849819952,2.0052589748663103,0.6312418529250129,1
mouse-dyad-10m,20250829_134647,0.47512680777384375,0.5729311356760887,0.2886562052462849,1.8453712160729834,0.5178815678193821,2
mouse-dyad-10m,20250829_134647,0.688940808240008,0.7861148140671915,0.7651348870385976,10.212830592923767,0.3706448721266263,3
mouse-dyad-10m,20250829_141847,0.10177502304864096,0.4730022317710936,0.05884049443907452,0.3264381599546984,0.8304967778310515,1
mouse-dyad-10m,20250829_141847,0.11761471558532441,0.3397621664834616,0.20991418989542535,5.4495186702641485,0.987783743520521,2
mouse-dyad-10m,20250829_141847,0.1184422451042465,0.4263682089204224,0.04216459267263958,6.58205922520902,0.9306145750598994,3
mouse-dyad-10m,20250829_141847,0.13224366023526277,0.299790146897172,0.17786810873474473,7.714599780153892,0.9979785981326926,4
mouse-dyad-10m,20250829_141847,0.13360991702489253,1.032610505979148,0.04500669459450443,0.3464241697478432,0.8210936706995027,5
mouse-dyad-10m,20250829_141847,0.22556566363424305,0.2531561240465008,0.020265292556852207,0.5795942840011992,0.8953604270600435,6
mouse-dyad-10m,20250829_141847,0.22595998978084353,1.3790346757269911,0.01777050782687281,0.4730022317710936,0.9030809733098323,7
mouse-dyad-10m,20250829_144840,0.004260046099586214,0.2864663312123722,0.0779889528059164,0.27314231580714554,0.9095494104452505,1
mouse-dyad-10m,20250829_144840,0.036190952261934514,0.9726531245815427,0.17211174681101005,0.6062427009378109,0.7662522009914795,2
mouse-dyad-10m,20250829_144840,0.08215723846816074,0.47966455458815804,0.19574821288895425,0.5529466393169045,0.727622694808446,3
mouse-dyad-10m,20250829_144840,0.11839817823321948,0.3464244005358919,0.15905909141126143,0.07994409243135968,0.911655497367996,4
mouse-dyad-10m,20250829_144840,0.13096170401843985,0.6062427009378109,0.0817964417403505,0.3464244005358919,0.7698352213073143,5
mouse-dyad-10m,20250829_144840,0.13711016690271877,0.7727928935031435,0.11315168457171192,0.15322617716010606,0.8455720660669442,6
mouse-dyad-10m,20250829_144840,0.1739009692021439,0.7061728164770105,0.03026566101922248,0.35974841594111856,0.8139346155556537,7
mouse-dyad-10m,20250829_144840,0.20241606265100393,1.67216393335594,0.10992677877119392,0.16655019256533266,0.8774138697581154,8
mouse-dyad-10m,20250829_144840,0.38901941181371325,0.26648030810453227,0.2570274648067035,0.9193570629606362,0.6410951268723187,9
mouse-dyad-10m,20250829_162253,0.04786235546323962,0.32643881237562844,0.03548198908594934,0.13324033158188917,0.861959147503583,1
mouse-dyad-10m,20250829_162253,0.09835719601461751,1.2990932329234193,0.0835237447779288,0.6795256910676347,0.9011902813151035,2
mouse-dyad-10m,20250829_162253,0.18703417787601773,1.0659226526551133,0.18924340724427502,0.7594698900167682,0.9207368285617258,3
mouse-dyad-10m,20250829_162253,0.22582167968099168,0.55294737606484,0.03140271780681404,1.0592606360760188,0.9465469458185496,4
mouse-dyad-10m,20250829_162253,0.23304712925835008,0.4463551107993287,0.03339818289918369,0.013324033158188918,0.9253121626281476,5
mouse-dyad-10m,20250829_162253,0.28183696364504773,0.8460761055449962,0.21419721378140807,0.6328915750139735,0.7991658560606398,6
mouse-dyad-10m,20250829_162253,0.29757078274778126,0.3331008289547229,0.30614608284015915,0.26648066316377833,0.7756815339770489,7
mouse-dyad-10m,20250829_162253,0.32031900831954147,2.4249740347903828,0.13096049698075118,0.05995814921185012,0.8653164451760781,8
mouse-dyad-10m,20250829_162253,0.3252896288973553,1.145866851604247,0.20720485832092897,1.1258808018669635,0.7150154361803935,9
mouse-dyad-10m,20250829_162253,0.34666607426495905,1.032612569759641,0.0722276702555034,0.0,0.921281353398758,10
mouse-dyad-10m,20250829_162253,0.44045252085439135,0.7528078734376737,0.2539739458129265,1.3990234816098364,0.7416891972350832,11
mouse-dyad-10m,20250829_162253,0.45502004909529153,0.27980469632196725,0.3568524894974489,0.8394140889659018,0.6534537833884865,12
mouse-dyad-10m,20250829_162253,0.46102922391673795,2.21178950425936,0.2936301430448185,0.6728636744885403,0.5901630181673694,13
mouse-dyad-10m,20250829_162253,0.5329227248997546,0.7861179563331461,0.022245952244717444,1.3390653323979862,0.7579896941395088,14
mouse-dyad-10m,20250829_162253,0.6229215030712326,1.0525986194969243,0.06873332795720857,0.2198465471101171,0.9599201798992401,15
mouse-dyad-10m,20250829_162253,0.6250485954525764,0.712835773963107,0.21180102283305363,0.5929194755394068,0.6246847296905551,16
mouse-dyad-10m,20250829_162253,0.6434704373035355,0.319776795796534,0.10535815989667748,0.1265783150027947,0.7824617048791048,17
mouse-dyad-10m,20250829_162253,0.7290484177320641,0.9060342547568463,0.13593758383842336,0.28646671290106174,0.7722853264575879,18
mouse-dyad-10m,20250829_162253,0.7299870041875396,1.1991629842370024,0.21838563320529658,1.4123475147680251,0.7840657547060809,19
mouse-dyad-10m,20250829_162253,0.7322196181230493,0.46634116053661206,0.7046804957458352,4.0904781795639975,0.5575506412678887,20
mouse-dyad-10m,20250829_162253,0.7355907540903487,1.845378592409165,0.046714541256434414,0.319776795796534,0.998296589936898,21
mouse-dyad-10m,20250829_162253,0.8001977140699108,0.9060342547568463,0.15091564689920467,0.6462156081721625,0.7829541327154012,22
mouse-dyad-10m,20250829_162253,0.8026358173477435,1.1925009676579081,0.06555581479785784,0.22650856368921157,0.9539330249253581,23
mouse-dyad-10m,20250829_162253,0.8202301480634018,1.0459366029178299,0.03539288750539374,0.20652251395192822,0.9878327396798252,24
mouse-dyad-10m,20250829_162253,0.8340867942551844,0.7194977905422015,0.10135991307817847,0.5063132600111788,0.6081350677143105,25
mouse-dyad-10m,20250829_162253,0.8759621899610126,0.9060342547568463,0.06175682327287949,1.0592606360760188,0.9271061874949751,26
mouse-dyad-10m,20250829_162253,0.8852980706216885,0.5795954423812179,0.056839437683100964,0.11991629842370025,0.9103911186470294,27
mouse-dyad-10m,20250829_162253,0.9469670883826322,1.6122080121408588,0.08990798443076328,0.2731426797428728,0.804799680747727,28
mouse-dyad-10m,20250829_162253,0.9601017449932799,1.0126265200223576,0.056665121090475404,0.159888397898267,0.931714757400472,29
mouse-dyad-10m,20250829_162253,0.9611014228748515,1.4589816308216863,0.05669233640115648,1.3590513821352694,0.9844787014520324,30
mouse-dyad-10m,20250829_162253,0.9876928545246532,0.55294737606484,0.10183373175806408,0.4396930942202342,0.6438890530862059,31
mouse-dyad-10m,20250903_143938,0.0801459521601253,0.2531583165504914,0.09049552108922594,0.0066620609618550375,0.9196077921492006,1
mouse-dyad-10m,20250903_143938,0.08775456933560666,0.8260955592700246,0.042198606372706164,0.2464962555886364,0.8337352157067353,2
mouse-dyad-10m,20250903_143938,0.08903192842346119,0.9926470833164006,0.03029077532224181,0.1598894630845209,0.825043038138089,3
mouse-dyad-10m,20250903_143938,0.21252478354317195,0.7861231934988944,0.025138866373427583,0.34642717001646195,0.8263251642646524,4
mouse-dyad-10m,20250903_143938,0.2220938692317518,0.9926470833164006,0.15235477826717872,0.8527438031174448,0.7446291468357298,5
mouse-dyad-10m,20250903_143938,0.2497959002327015,0.89937822985043,0.01569431941074555,3.53089230978317,0.7734060425955119,6
mouse-dyad-10m,20250903_143938,0.441172060269134,1.2191571560194718,0.054217114572781555,0.699516400994779,0.8452265724947612,7
mouse-dyad-10m,20250903_143938,0.4552785475871798,0.532964876948403,0.05155302628970693,0.3797374748257371,0.8783325264558661,8
mouse-dyad-10m,20250903_143938,0.5409560199712317,0.6395578523380836,0.02798987442089735,1.065929753896806,0.82729151752754,9
mouse-dyad-10m,20250903_150657,0.08308526236282046,0.8594035739196998,0.07033832699862867,0.11325473454755734,0.7544811635988772,1
mouse-dyad-10m,20250903_150657,0.09825831963389167,0.2931299011819131,0.13557597099909105,0.7794590554155417,0.8800330259985922,2
mouse-dyad-10m,20250903_150657,0.10503398942551206,0.4130466789381503,0.05272480458448757,0.48632915423362855,0.9556310586260962,3
mouse-dyad-10m,20250903_150657,0.13248100590927267,0.299791944390593,0.16751093422411142,0.5396254999030673,0.8636903139038243,4
mouse-dyad-10m,20250903_150657,0.13716843648642643,1.578904240457123,0.05635802614956005,0.03997225925207906,0.8891140874280085,5
mouse-dyad-10m,20250903_150657,0.21666037232860888,0.5196393702770278,0.05545661366581883,0.48632915423362855,0.7528708107868269,6
mouse-dyad-10m,20250903_150657,0.24447394144044074,0.6129079751985456,0.13514592198218847,0.9460101356325378,0.8345330681723798,7
mouse-dyad-10m,20250903_150657,0.24521260052428134,2.4516319007941823,0.07338691565741291,1.832061882386957,0.683222611206488,8
mouse-dyad-10m,20250903_150657,0.2512273959212689,1.0392787405540556,0.013098210125107526,1.6521867157526011,0.7940874509677047,9
mouse-dyad-10m,20250903_150657,0.2554205358332963,0.639556148033265,0.0643542548619558,0.6662043208679843,0.7980067754820908,10
mouse-dyad-10m,20250903_150657,0.25708668414271113,0.35975033326871153,0.15266974386873666,0.07994451850415812,0.7420162152309546,11
mouse-dyad-10m,20250903_150657,0.4490769538365842,0.3664123764773914,0.20049062748815188,0.25315764192983403,0.8540035885290616,12
mouse-dyad-10m,20250903_150657,0.4572355267250189,0.7061765801200633,0.009616916515340187,0.07994451850415812,0.8830328878485407,13
mouse-dyad-10m,20250903_150657,0.4580574932243302,0.35975033326871153,0.4897714038294385,0.9859823948846168,0.648853491365206,14
mouse-dyad-10m,20250903_150657,0.7560036877415915,0.3530882900600317,0.06760102332518432,0.17987516663435577,0.8856735678521366,15
mouse-dyad-10m,20250903_153433,0.031251214893061645,0.5529492179432688,0.01304190512762823,0.11325465909681409,0.937803650320136,1
mouse-dyad-10m,20250903_153433,0.03243972741965044,0.6928520321216862,0.044356347635596004,0.1865370855712232,0.9734094086290417,2
mouse-dyad-10m,20250903_153433,0.03533880937703061,1.239139211294554,0.2170813062318157,0.6795279545808846,0.8336258839289867,3
mouse-dyad-10m,20250903_153433,0.3458904680184608,0.7994446524480995,0.04640365443110013,0.0466342713928058,0.8562063745411245,4
mouse-dyad-10m,20250903_153433,0.540084528788106,0.6062455281064754,0.07977612596919233,0.17987504680082236,0.9561547469737379,5
mouse-dyad-10m,20250903_153433,0.9574967926823172,0.47966679146885965,0.05239650472990722,0.17987504680082236,0.8812223989297931,6
mouse-dyad-10m,20250904_140306,0.0,0.7661283338240996,0.051366340081419326,0.0,0.9182682379387129,1
mouse-dyad-10m,20250904_140306,0.05514459014755909,0.31311331904115375,0.014655485475229383,0.09326779716119474,0.9669097454380129,2
mouse-dyad-10m,20250904_140306,0.056937052924822006,0.9326779716119473,0.04368150203100032,1.5722285807172827,0.6779564200864034,3
mouse-dyad-10m,20250904_140306,0.062109112703178156,0.27314140597207026,0.10271077537387628,0.18653559432238948,0.7769583370870712,4
mouse-dyad-10m,20250904_140306,0.0629137786558194,0.31977530455266767,0.1745698096518481,0.9659878991695169,0.822648073166689,5
mouse-dyad-10m,20250904_140306,0.08185395035488544,0.2664794204605564,0.28712616502636806,1.1192135659343367,0.7938061277673658,6
mouse-dyad-10m,20250904_140306,0.08506151532472433,0.806100246893183,0.01850085938192491,0.10659176818422256,0.9634009549379572,7
