round,n_sessions,near_onsets,near_peak,near_peak_lag_s,far_peak,far_peak_lag_s,near_q_peak,near_q_peak_lag_s,null_peak,null_peak_lag_s,near_minus_far
round 1,14,2939,1.5629675429627534,0.74,1.5558924596768833,-0.2,1.6661262816897202,0.26,1.0319515842961646,4.14,0.007075083285870143
round 3,15,2315,1.8680584484783633,0.74,1.7373195969503117,-0.94,1.9226164740696836,0.82,1.032182720706043,2.92,0.13073885152805165
