mode,corpus,near_bl,n_sessions,near_onsets,far_onsets,near_peak,near_peak_lag_s,far_peak,near_minus_far,null_peak,near_sessions
fixed,mouse-dyad-10m,2.0,56,2915,6439,4.050564925281658,0.45968373758853914,1.2054680241075202,2.845096901174138,1.0256798685221198,35
fixed,slap-2m,2.0,35,1358,822,1.300873215212141,-3.266666668117712,1.033670875873365,0.2672023393387759,1.02509548769844,25
fixed,scn2a,2.0,29,5254,723,1.6986614705300438,1.02,1.5226264450824387,0.17603502544760508,1.0268305479074948,29
arena,mouse-dyad-10m,2.0,56,2918,6436,4.114738472723644,0.45968373758853914,1.2143299954388942,2.90040847728475,1.0256798685221198,35
arena,slap-2m,0.8860183125214736,35,262,1918,1.5574181554189073,4.966666668872848,1.1557217155972865,0.40169643982162073,1.02509548769844,1
arena,scn2a,0.7945751432856503,29,1726,4251,1.7178664248706985,1.42,1.5722776220584858,0.14558880281221276,1.0268305479074948,29
selectivity,mouse-dyad-10m,2.011478468140467,56,2566,6788,3.198663524196551,0.6861945648060801,1.3319137769725782,1.8667497472239727,1.0256798685221198,46
selectivity,slap-2m,1.386547470609305,35,755,1425,1.5054593923458954,4.966666668872848,1.136468166848195,0.36899122549770036,1.02509548769844,17
selectivity,scn2a,0.8149498529625733,29,1749,4228,1.800837787421472,0.44,1.578194152683607,0.22264363473786508,1.0268305479074948,29
