corpus,camera,x,y,z,axis_x,axis_y,axis_z
BMimica,21241563,4.514711191709655,-0.5392596918913554,9.285814011110777,-0.0034849829294680418,0.0005915675990340664,0.9999937524513627
BMimica,21369048,18.808208491069067,-502.55526141926583,256.39533392460004,-0.03815581429135277,0.5901798362542757,0.8063695770021586
BMimica,21372315,19.28206793131021,-413.00108643200474,-162.06135781528434,-0.02810261980337041,0.3406955153183985,0.9397535892999388
BMimica,21372316,288.1654685925296,-273.9436741846897,103.25233353746658,-0.32205773402347965,0.29755511337797863,0.8987434397303158
BMimica,22085397,-263.7880647680938,-286.0923457846754,104.48046151310562,0.27333847302873304,0.3563697185268002,0.8934689154522666
SLAP-2M,back,59.79743412174976,-272.22990236816617,594.9398784365956,-0.2106223851857659,0.7134062784728488,0.6683484814781724
SLAP-2M,backL,-5.92065416101892,15.13506505726798,434.7716324607193,0.01073298468850342,-0.026135691918357892,0.9996007846373597
SLAP-2M,mid,-272.93748109800833,41.459981331399526,514.5966345802126,0.4859131592683739,-0.11493375082608703,0.8664171250447874
SLAP-2M,midL,-68.67639855802224,-374.14087785546315,576.2981912698687,0.03847678436285796,0.6679256923457794,0.7432326732386737
SLAP-2M,side,-470.0706447676331,83.10152877739509,986.5399340731469,0.9823969329313837,-0.015222581766825949,0.18618415392122567
SLAP-2M,sideL,-415.385913252593,-149.16382042608262,1060.6213753269524,0.9162979551106485,0.39936097015703276,0.030147520217710694
SLAP-2M,top,-62.163304636600316,-209.50881976766,395.991560369564,0.12615882381126803,0.3162057117883551,0.9402648025992343
SLAP-2M,topL,-102.92292530288009,-303.280631567015,461.106223261946,0.17383498326474084,0.41771462335012705,0.8917936375826017
