tracker,idf1,survival_pct
LUC3D,0.014587194578219422,100.0
LUC3D,0.0712343191009896,98.64864864864865
LUC3D,0.07424583956945473,97.29729729729729
LUC3D,0.10803861662515064,95.94594594594595
LUC3D,0.1275080877766275,94.5945945945946
LUC3D,0.17679701413725057,93.24324324324324
LUC3D,0.21972579639003653,91.89189189189189
LUC3D,0.2333618378896528,90.54054054054055
LUC3D,0.2456602831695582,89.1891891891892
LUC3D,0.26911682897073935,87.83783783783784
LUC3D,0.32789750685645636,86.48648648648648
LUC3D,0.3449710615074757,85.13513513513513
LUC3D,0.3595835492647104,83.78378378378379
LUC3D,0.37965703390944117,82.43243243243244
LUC3D,0.3802081105786592,81.08108108108108
LUC3D,0.4350895146738492,79.72972972972973
LUC3D,0.4623958037791745,78.37837837837837
LUC3D,0.5170105448191057,77.02702702702703
LUC3D,0.5220276024362244,75.67567567567568
LUC3D,0.5260664113008967,74.32432432432432
LUC3D,0.5902612693726828,72.97297297297297
LUC3D,0.6590323781316905,71.62162162162163
LUC3D,0.6847109157070164,70.27027027027027
LUC3D,0.7018186658204334,68.91891891891892
LUC3D,0.7695937028140061,67.56756756756756
LUC3D,0.8047252909865922,66.21621621621621
LUC3D,0.8175924638965566,64.86486486486487
LUC3D,0.8207820467823557,63.513513513513516
LUC3D,0.8303674685767882,62.16216216216216
LUC3D,0.8564687591982764,60.810810810810814
LUC3D,0.8600708124079582,59.45945945945946
LUC3D,0.8726335158801174,58.108108108108105
LUC3D,0.8895442964994141,56.75675675675676
LUC3D,0.891229033063282,55.4054054054054
LUC3D,0.9070977196448218,54.054054054054056
LUC3D,0.908697708347797,52.7027027027027
LUC3D,0.9131809475522505,51.351351351351354
LUC3D,0.9201491228787142,50.0
LUC3D,0.9488866437340132,48.648648648648646
LUC3D,0.9494597131262147,47.2972972972973
LUC3D,0.9578297176787164,45.945945945945944
LUC3D,0.9751724089100359,44.5945945945946
LUC3D,0.98470396564162,43.24324324324324
LUC3D,0.9914524307901988,41.891891891891895
LUC3D,0.9958763224563839,40.54054054054054
LUC3D,0.9973391581721097,39.189189189189186
LUC3D,0.9982592410305969,37.83783783783784
LUC3D,0.9988128567405933,36.486486486486484
LUC3D,0.9989218905650198,35.13513513513514
LUC3D,0.9990838261752136,33.78378378378378
LUC3D,0.9993039100923581,32.432432432432435
LUC3D,0.9994620846355949,31.08108108108108
LUC3D,0.9994855781900928,29.72972972972973
LUC3D,0.9995264751618121,28.37837837837838
LUC3D,0.9996387172534439,27.027027027027028
LUC3D,0.9996673751252695,25.675675675675677
LUC3D,0.9997317172950066,24.324324324324323
LUC3D,0.9998274234873349,22.972972972972972
LUC3D,0.9998616558815042,21.62162162162162
LUC3D,0.999909492657235,20.27027027027027
LUC3D,0.9999580735469866,18.91891891891892
LUC3D,0.9999676585941827,17.56756756756757
LUC3D,0.9999767587081215,16.216216216216218
LUC3D,0.9999771294746184,14.864864864864865
LUC3D,1.0,13.513513513513514
LUC3D,1.0,12.162162162162161
LUC3D,1.0,10.81081081081081
LUC3D,1.0,9.45945945945946
LUC3D,1.0,8.108108108108109
LUC3D,1.0,6.756756756756757
LUC3D,1.0,5.405405405405405
LUC3D,1.0,4.054054054054054
LUC3D,1.0,2.7027027027027026
LUC3D,1.0,1.3513513513513513
SLEAP,0.020965127935643122,100.0
SLEAP,0.0796770999562535,98.64864864864865
SLEAP,0.08745731659632516,97.29729729729729
SLEAP,0.10033860675510052,95.94594594594595
SLEAP,0.12427094368864643,94.5945945945946
SLEAP,0.15978927441316834,93.24324324324324
SLEAP,0.19204916272706316,91.89189189189189
SLEAP,0.20462651434664655,90.54054054054055
SLEAP,0.20695559648900744,89.1891891891892
SLEAP,0.2562834959942986,87.83783783783784
SLEAP,0.2594645410860234,86.48648648648648
SLEAP,0.26668536399126447,85.13513513513513
SLEAP,0.2764251063436505,83.78378378378379
SLEAP,0.3088992137979451,82.43243243243244
SLEAP,0.3710633541097619,81.08108108108108
SLEAP,0.40839125376594176,79.72972972972973
SLEAP,0.4236854454968133,78.37837837837837
SLEAP,0.4494674656323719,77.02702702702703
SLEAP,0.4551169008214875,75.67567567567568
SLEAP,0.46093628103975814,74.32432432432432
SLEAP,0.4615969316166963,72.97297297297297
SLEAP,0.4720028326456139,71.62162162162163
SLEAP,0.49832403444296847,70.27027027027027
SLEAP,0.5113286973278016,68.91891891891892
SLEAP,0.513560570594059,67.56756756756756
SLEAP,0.5645317802188193,66.21621621621621
SLEAP,0.5845897102185388,64.86486486486487
SLEAP,0.5993178184214449,63.513513513513516
SLEAP,0.6104153713462527,62.16216216216216
SLEAP,0.651292671286953,60.810810810810814
SLEAP,0.6514073649471722,59.45945945945946
SLEAP,0.6563491428281807,58.108108108108105
SLEAP,0.6707610170865123,56.75675675675676
SLEAP,0.675132484903887,55.4054054054054
SLEAP,0.7023407399661004,54.054054054054056
