node,x_mm,y_mm,z_mm
Nose,-67.4037839264167,6.144946868668739,5.179910309852356
Ear_R,-41.94859540027875,15.137127731741366,12.557637946211774
Ear_L,-45.51401264341965,-5.474853076956113,16.687460493343043
TTI,17.468339465623036,-7.855204586245293,-16.089284345390446
TailTip,105.60989993488766,6.1449468686687485,5.1799103098523585
Head,-44.55999963173814,5.354360921358182,14.30309182388478
Trunk,-4.3604766756689655,-3.2150761838182396,-4.763304327634384
Tail_0,42.22242021188699,-7.840739137082567,-13.406802995298792
Tail_1,63.69373564849404,-5.053766006571912,-6.847935722596637
Tail_2,85.44017828895251,-0.26969984739850955,-0.37394538905287267
Shoulder_left,-38.26260917768858,-8.14799687387316,1.5428495350986586
Shoulder_right,-35.28402730724244,10.410988461349199,-1.8138818963427292
Haunch_left,-3.597537263831485,-16.898854017318722,-8.898541548907739
Haunch_right,-0.4403211199009569,6.405835168714252,-14.380284929235529
Neck,-36.09365781965611,3.0374252963208805,11.093445408644994
