difficulty,n_sessions,n_keypoints,err_p50,err_p95,miss_rate
1,12,252265,2.889323873631646,8.996163803070766,0.05312819098867994
2,13,342287,2.7916935750794916,8.908952145771467,0.10491479779333132
3,9,229072,2.9263634485767915,13.850703722630904,0.22979948164751363
4,13,245731,2.9361014003669346,9.77922982536122,0.22217958235159083
5,10,273748,3.0448675938519942,10.492323834809065,0.22484791118528005
6,4,91922,3.1519253590826333,11.645439697024003,0.4602035370134557
7,13,126890,3.192948215526831,12.600886379798418,0.5789649263894611
