difficulty,miss_rate,miss_rate_sd,err_mean,err_mean_sd,err_p50,err_p95,err_p99,frac_over_tau,n_sessions,n_keypoints
1,0.05312819098867994,0.03082544229248398,3.665975735005117,0.24578712043403916,2.889323873631646,8.996163803070766,14.519158196402124,0.0034324729214347434,12,252265
2,0.10491479779333132,0.0389962864899244,3.600885705962544,0.24980680387204265,2.7916935750794916,8.908952145771467,14.671553578244803,0.003928371838438754,13,342287
3,0.22979948164751363,0.13840157716907941,4.24189349109658,1.13978054710423,2.9263634485767915,13.850703722630904,21.581521731802393,0.014974828187831267,9,229072
4,0.22217958235159083,0.1087621830565006,3.969723743774946,0.1737408397097927,2.9361014003669346,9.77922982536122,19.042036650802707,0.008336411069871794,13,245731
5,0.22484791118528005,0.11723818276647392,4.173040064456753,0.2552579064273861,3.0448675938519942,10.492323834809065,20.875019031652034,0.010295755472936412,10,273748
6,0.4602035370134557,0.13406800925918486,4.5192754956691585,0.20558805474418948,3.1519253590826333,11.645439697024003,24.61103762523645,0.015287957994321068,4,91922
7,0.5789649263894611,0.06678957475287499,4.724803987861079,0.24722530147071173,3.192948215526831,12.600886379798418,27.355660211760227,0.018341761993879383,13,126890
