animals,difficulty,n_sessions,miss_mean_pct,miss_sd_pct
1,1,12,5.335976159065254,3.2791647246315994
1,2,3,10.116920805571054,6.217045646322382
1,3,6,13.226987049835358,4.440196568233095
1,4,3,11.874411966189301,1.057356043539077
1,5,7,16.74758970146053,4.22902034506392
1,6,1,66.0688956226313,0.0
2,2,10,10.930916740760996,2.8442073118086997
2,4,7,18.976239691933905,5.659339594201916
2,5,3,35.84079253077042,11.694477309875179
2,6,3,38.9826073637418,6.48526290043741
2,7,12,57.841427466707934,7.361290187332479
3,3,3,40.488125128088456,0.5305504662468701
3,7,1,55.98853905469967,0.0
4,4,3,39.480095523301,3.78981789176592
