animals,mean,median,q1,q3,ci95_lo,ci95_hi,n_sessions,wins
1,0.1417077800838507,0.14259050877711532,0.0025403801211993406,0.24963236494206312,0.10018331008752626,0.18448473014963182,32,25
2,0.08859578656605703,0.06843296577043295,0.05087072031847473,0.1296176504099676,0.06621969030802664,0.11203813699539855,35,31
3,-0.04261535700442133,-0.03868454653491252,-0.0655381676782015,-0.015761735861132345,-0.06993023978191354,-0.015300474226929123,4,0
4,-0.04093389102649745,-0.02782950020939598,-0.056089230127375975,-0.019226356517068194,-0.08434896004535597,-0.010623212824740408,3,0
