session,camera,tracker,difficulty,bedding,animals,mota,motp,idf1,idp,idr,idtp,idfp,idfn,num_switches,num_fragmentations,precision,recall,num_false_positives,num_misses,num_detections,num_objects,num_predictions,mostly_tracked,partially_tracked,mostly_lost,num_unique_objects,num_frames
10072022130420,back,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,backL,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,mid,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,midL,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,top,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022130420,topL,luc3d,1,black,1,1.0,0.0,1.0,1.0,1.0,18125.0,0.0,0.0,0,0,1.0,1.0,0,0,18125,18125,18125,1,0,0,1,18125
10072022131531,back,luc3d,2,black,2,0.999662589624631,0.0,0.9998312663460728,1.0,0.999662589624631,35553.0,0.0,12.0,0,5,1.0,0.999662589624631,0,12,35553,35565,35553,2,0,0,2,18036
10072022131531,backL,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,35217.0,0.0,0.0,0,0,1.0,1.0,0,0,35217,35217,35217,2,0,0,2,18036
10072022131531,mid,luc3d,2,black,2,0.9960018020047302,0.0,0.9979968966003667,1.0,0.9960018020047302,35374.0,0.0,142.0,0,28,1.0,0.9960018020047302,0,142,35374,35516,35374,2,0,0,2,18036
10072022131531,midL,luc3d,2,black,2,0.9984514457865248,0.0,0.999226213086847,0.9985940048366234,0.9998592223442295,35512.0,50.0,5.0,2,1,0.9986221247398909,0.9998873778753836,49,4,35513,35517,35562,2,0,0,2,18036
10072022131531,top,luc3d,2,black,2,0.9998869737213902,0.0,0.9999434836667797,1.0,0.9998869737213902,35386.0,0.0,4.0,0,1,1.0,0.9998869737213902,0,4,35386,35390,35386,2,0,0,2,18036
10072022131531,topL,luc3d,2,black,2,0.9998312331233123,0.0,0.9999156094404906,1.0,0.9998312331233123,35546.0,0.0,6.0,0,2,1.0,0.9998312331233123,0,6,35546,35552,35546,2,0,0,2,18036
10072022132603,back,luc3d,2,black,2,0.9994503049498731,0.0,0.9997250769130065,1.0,0.9994503049498731,38182.0,0.0,21.0,0,6,1.0,0.9994503049498731,0,21,38182,38203,38182,2,0,0,2,19164
10072022132603,backL,luc3d,2,black,2,0.9997582205029013,0.0,0.9998791248640154,0.9997582789460963,1.0,37224.0,9.0,0.0,0,0,0.9997582789460963,1.0,9,0,37224,37224,37233,2,0,0,2,19164
10072022132603,mid,luc3d,2,black,2,0.9997054649637186,0.0,0.9998527541663877,0.9997055516890626,1.0,37347.0,11.0,0.0,0,0,0.9997055516890626,1.0,11,0,37347,37347,37358,2,0,0,2,19164
10072022132603,midL,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,37981.0,0.0,0.0,0,0,1.0,1.0,0,0,37981,37981,37981,2,0,0,2,19164
10072022132603,top,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,38103.0,0.0,0.0,0,0,1.0,1.0,0,0,38103,38103,38103,2,0,0,2,19164
10072022132603,topL,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,38218.0,0.0,0.0,0,0,1.0,1.0,0,0,38218,38218,38218,2,0,0,2,19164
10072022133702,back,luc3d,2,black,2,0.9998872159251114,0.0,0.9999436047823145,1.0,0.9998872159251114,35462.0,0.0,4.0,0,1,1.0,0.9998872159251114,0,4,35462,35466,35462,2,0,0,2,18010
10072022133702,backL,luc3d,2,black,2,0.9999720005599888,0.0,0.9999860000839995,1.0,0.9999720005599888,35714.0,0.0,1.0,0,1,1.0,0.9999720005599888,0,1,35714,35715,35714,2,0,0,2,18010
10072022133702,mid,luc3d,2,black,2,0.9993011684463576,0.0,0.9996504620891182,1.0,0.9993011684463576,35749.0,0.0,25.0,0,3,1.0,0.9993011684463576,0,25,35749,35774,35749,2,0,0,2,18010
10072022133702,midL,luc3d,2,black,2,0.9991794233326731,0.0,0.9995898683335926,0.9992083239086179,0.9999717042528508,35340.0,28.0,1.0,0,1,0.9992083239086179,0.9999717042528508,28,1,35340,35341,35368,2,0,0,2,18010
10072022133702,top,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,35732.0,0.0,0.0,0,0,1.0,1.0,0,0,35732,35732,35732,2,0,0,2,18010
10072022133702,topL,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,35788.0,0.0,0.0,0,0,1.0,1.0,0,0,35788,35788,35788,2,0,0,2,18010
10072022134804,back,luc3d,2,black,2,0.9980157589003278,1.647377395076176e-05,0.9990079792969593,0.9989074494695379,0.9991085293610169,34743.0,38.0,31.0,0,12,0.9989074494695379,0.9991085293610169,38,31,34743,34774,34781,2,0,0,2,18150
10072022134804,backL,luc3d,2,black,2,0.9999414142597691,0.0,0.9999707071298846,0.9999707071298846,0.9999707071298846,34137.0,1.0,1.0,0,1,0.9999707071298846,0.9999707071298846,1,1,34137,34138,34138,2,0,0,2,18150
