difficulty,sessions,keypoints,animals,bedding,missing_pct,err_mean,err_p50,err_p95,err_p99,over_tau_pct
1,12,252265,1,12/0,5.312819098867994,3.665975735005117,2.889323873631646,8.996163803070766,14.519158196402124,0.3432472921434743
2,13,342287,"1, 2",8/5,10.491479779333131,3.600885705962544,2.7916935750794916,8.908952145771467,14.671553578244803,0.3928371838438754
3,9,229072,"1, 3",4/5,22.979948164751363,4.24189349109658,2.9263634485767915,13.850703722630904,21.581521731802393,1.4974828187831266
4,13,245731,"1, 2, 4",6/7,22.21795823515908,3.969723743774946,2.9361014003669346,9.77922982536122,19.042036650802707,0.8336411069871794
5,10,273748,"1, 2",6/4,22.484791118528005,4.173040064456753,3.0448675938519942,10.492323834809065,20.875019031652034,1.0295755472936412
6,4,91922,"1, 2",1/3,46.02035370134557,4.5192754956691585,3.1519253590826333,11.645439697024003,24.61103762523645,1.5287957994321069
7,13,126890,"2, 3",7/6,57.89649263894611,4.724803987861079,3.192948215526831,12.600886379798418,27.355660211760227,1.8341761993879384
