param,value,is_default,reaches_shipped_tracker,identical_to_default,from_fig3e,switches,camera_frames,switches_per_100k_camera_frames,idf1_cross,idf1_within,n_sessions
velocityThreshold,2.0,False,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
velocityThreshold,5.0,False,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
velocityThreshold,10.0,True,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
velocityThreshold,20.0,False,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
velocityThreshold,40.0,False,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
distanceThreshold,10.0,False,True,False,False,292,7205370,4.052533041328898,0.7707210158034958,0.7706129820002234,8
distanceThreshold,25.0,False,True,False,False,262,7205370,3.6361769069457917,0.7949455012233863,0.7948291210218613,8
distanceThreshold,50.0,True,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
distanceThreshold,100.0,False,True,False,False,368,7205370,5.107301915099432,0.7281633200782146,0.7280558247283012,8
distanceThreshold,200.0,False,True,False,False,554,7205370,7.688709948274689,0.6980821485043582,0.6979712801339166,8
filterMinVisibleNodes,0.0,True,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
filterMinVisibleNodes,4.0,False,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
filterMinVisibleNodes,8.0,False,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
filterMinVisibleNodes,12.0,False,True,False,False,366,7205370,5.0795448394738925,0.6849181056851986,0.6848239699682278,8
filterMinInstanceScore,0.0,True,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
filterMinInstanceScore,0.5,False,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
filterMinInstanceScore,0.85,False,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
corr3dWeight,6.0,True,True,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
corr3dWeight,8.0,False,True,False,True,314,7205370,4.357860873209842,0.706806611524545,0.7077929801938181,8
corr3dWeight,12.0,False,True,False,True,272,7205370,3.7749622850734936,0.7615781620218007,0.7614654533484182,8
corr3dWeight,18.0,False,True,False,False,282,7205370,3.9137476632011956,0.7561898209479955,0.7560814705873922,8
corr3dWeight,36.0,False,True,False,False,272,7205370,3.7749622850734936,0.7654982700193012,0.7653933677482953,8
track3dWeight,0.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
track3dWeight,1.0,True,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
track3dWeight,2.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
track3dWeight,4.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
track3dWeight,6.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
track3dWeight,8.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
track3dWeight,12.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
prevIdentityBonus,0.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
prevIdentityBonus,0.1,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
prevIdentityBonus,0.3,True,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
prevIdentityBonus,0.6,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
prevIdentityBonus,1.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
minMatchScore,0.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
minMatchScore,0.05,True,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
minMatchScore,0.15,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
minMatchScore,0.3,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
reprojSigma,5.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
reprojSigma,10.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
reprojSigma,20.0,True,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
reprojSigma,40.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
epipolarDecay,2.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
epipolarDecay,5.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
epipolarDecay,10.0,True,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
epipolarDecay,20.0,False,False,True,False,324,7205370,4.496646251337544,0.7347138492699747,0.73460462986156,8
