param,value,is_default,reaches_shipped_tracker,identical_to_default,from_fig3e,idf1_cross,idf1_within,noise_half_width,n_sessions
velocityThreshold,2.0,False,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
velocityThreshold,5.0,False,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
velocityThreshold,10.0,True,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
velocityThreshold,20.0,False,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
velocityThreshold,40.0,False,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
distanceThreshold,10.0,False,True,False,False,0.7707210158034958,0.7706129820002234,0.02738577524862784,8
distanceThreshold,25.0,False,True,False,False,0.7949455012233863,0.7948291210218613,0.02738577524862784,8
distanceThreshold,50.0,True,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
distanceThreshold,100.0,False,True,False,False,0.7281633200782146,0.7280558247283012,0.02738577524862784,8
distanceThreshold,200.0,False,True,False,False,0.6980821485043582,0.6979712801339166,0.02738577524862784,8
filterMinVisibleNodes,0.0,True,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
filterMinVisibleNodes,4.0,False,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
filterMinVisibleNodes,8.0,False,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
filterMinVisibleNodes,12.0,False,True,False,False,0.6849181056851986,0.6848239699682278,0.02738577524862784,8
filterMinInstanceScore,0.0,True,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
filterMinInstanceScore,0.5,False,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
filterMinInstanceScore,0.85,False,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
corr3dWeight,6.0,True,True,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
corr3dWeight,8.0,False,True,False,True,0.706806611524545,0.7077929801938181,0.02738577524862784,8
corr3dWeight,12.0,False,True,False,True,0.7615781620218007,0.7614654533484182,0.02738577524862784,8
corr3dWeight,18.0,False,True,False,False,0.7561898209479955,0.7560814705873922,0.02738577524862784,8
corr3dWeight,36.0,False,True,False,False,0.7654982700193012,0.7653933677482953,0.02738577524862784,8
track3dWeight,0.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
track3dWeight,1.0,True,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
track3dWeight,2.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
track3dWeight,4.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
track3dWeight,6.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
track3dWeight,8.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
track3dWeight,12.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
prevIdentityBonus,0.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
prevIdentityBonus,0.1,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
prevIdentityBonus,0.3,True,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
prevIdentityBonus,0.6,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
prevIdentityBonus,1.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
minMatchScore,0.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
minMatchScore,0.05,True,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
minMatchScore,0.15,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
minMatchScore,0.3,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
reprojSigma,5.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
reprojSigma,10.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
reprojSigma,20.0,True,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
reprojSigma,40.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
epipolarDecay,2.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
epipolarDecay,5.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
epipolarDecay,10.0,True,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
epipolarDecay,20.0,False,False,True,False,0.7347138492699747,0.73460462986156,0.02738577524862784,8
