config,label,idp_cross,idr_cross,idf1_cross_mean,idf1_cross_median,switches,switches_per_100k,switches_pct,n_sessions
shipped,shipped,0.8019216036437831,0.7041231038751411,0.7492538449691502,0.7604254933999177,2071,4.599977433234804,0.004599977433234804,50
sync_stale1_dist25,stale 1,0.8998870900482386,0.7874667608606842,0.8392786476329606,0.88074520877365,677,1.5037106336552206,0.0015037106336552206,50
sync_stale10_dist25,stale 10,0.9106990673178084,0.7977043459087397,0.8497759043004726,0.9127008772235317,511,1.1350016747382832,0.0011350016747382833,50
sync_stale20_dist25,stale 20,0.9230536430624159,0.8084292397710361,0.8612501134978726,0.9152798130247988,413,0.9173301206788865,0.0009173301206788865,50
sync_stale30_dist25,stale 30,0.9068808300059206,0.7949312280953432,0.8465574583430535,0.9065606193899822,487,1.0816943553767984,0.0010816943553767983,50
