session,cross_idf1_as_is,cross_idf1_oracle_id,cross_idf1_oracle_full,id_gap,cov_gap,assign_rate,within_switches_as_is,det_bbox,det_labelled
20250904_181215,0.5495815674385394,0.9551409770863817,0.956814769517419,0.4055594096478423,0.0016737924310372687,0.9966515349956978,110,1651503,1645973
20250903_141046,0.5564044368948656,0.8873968927400254,0.8939335489070609,0.3309924558451598,0.006536656167035471,0.9868544742889185,136,1455248,1436118
20250904_131913,0.5873080402993104,0.8983518364552258,0.9033822025499867,0.3110437961559154,0.00503036609476093,0.9898908519181918,10,1484497,1469490
20250829_155407,0.7201458057745673,0.9660969443155858,0.9669655776537953,0.24595113854101847,0.0008686333382095235,0.9982623017298724,12,1686714,1683783
20250905_165151,0.7282424394403512,0.9548215238317478,0.9562637835932742,0.22657908439139662,0.0014422597615264543,0.9971139455050353,20,1649657,1644896
20250907_143021,0.7985761873153742,0.8946528843397468,0.8998831926844689,0.0960766970243726,0.0052303083447221566,0.9894708789479966,34,1474672,1459145
20250827_141755,0.9664101702994012,0.9664107438815278,0.9670470709861001,5.735821265728802e-07,0.0006363271045722874,0.9987267466777158,2,1687017,1684869
20250829_124351,0.9710421466973886,0.9710427181625338,0.9720202426191172,5.714651452048969e-07,0.0009775244565833896,0.9980452781249707,0,1702544,1699216
