horizon,config,switches,switches_per_100k,idf1_mean,idf1_median,n_sessions
shipped,shipped,2071,4.599977433234804,0.7492538449691502,0.7604254933999177,50
1,sync_stale1_dist25,677,1.5037106336552206,0.8392786476329606,0.88074520877365,50
10,sync_stale10_dist25,511,1.1350016747382832,0.8497759043004726,0.9127008772235317,50
20,sync_stale20_dist25,413,0.9173301206788865,0.8612501134978726,0.9152798130247988,50
30,sync_stale30_dist25,487,1.0816943553767984,0.8465574583430535,0.9065606193899822,50
