camera,n_sessions,gt_instances,missed,miss_pooled_pct,miss_session_median_pct,miss_session_max_pct
back,74,2623627,1056526,40.26967248012008,0.08065858163549505,100.0
backL,74,2641239,1003321,37.98675545832846,0.1632244109009948,99.2475086434818
mid,74,2681257,1065672,39.74523889354881,0.28313053848188907,98.76096181046677
midL,74,2636061,875297,33.2047323639324,0.01418103783136624,99.92947340139709
top,74,2679762,805587,30.061886092869443,0.013539707302365634,99.50695989176049
topL,74,2685332,895081,33.33222856615122,0.001799424310083844,99.26074060758584
