lag_s,near_p25,near_p50,near_p75,far_p50,null_p50,null_p25,null_p75
-5.003224448246273,0.8628511085573815,1.3526967541486257,1.7928149638088509,0.9223466182947784,1.003809531574133,0.9680416661262465,1.0396889786650434
-4.996562365092816,0.8628511085573815,1.3526967541486257,1.850716398763593,0.9223466182947784,1.0083846192849713,0.9692583127498919,1.0372033135664716
-4.989900281939359,0.7718090624995002,1.3526967541486257,1.7928149638088509,0.9223466182947784,1.0059638232517014,0.9712994284137113,1.0379975092092781
-4.9832381987859025,0.7706359652775483,1.274809966755944,1.7928149638088509,0.9165651388458234,1.0051189984298383,0.9740964385220724,1.0454416976868448
-4.9765761156324455,0.7407623505224772,1.280325031416627,1.7928149638088509,0.9165651388458234,1.0046455062989725,0.970766013453807,1.0434161370028128
-4.9699140324789886,0.7696927959659343,1.2812122542515607,1.7928149638088509,0.9165651388458234,1.0007091333709452,0.9681139231359305,1.0510820894557793
-4.963251949325531,0.7700611926207077,1.2812122542515607,1.7928149638088509,0.9165651388458234,1.001595947505467,0.969100106279912,1.0523191211877552
-4.956589866172074,0.8405402957360726,1.2812122542515607,1.7138286535032032,0.9165651388458234,0.9997599085407158,0.9709212397073965,1.0518305808192245
-4.949927783018617,0.8411971868147212,1.2812122542515607,1.7928149638088509,0.9165651388458234,1.0010275064448186,0.9726002837633264,1.050591198838767
-4.94326569986516,0.8411971868147212,1.2812122542515607,1.7928149638088509,0.9165651388458234,1.0052910402903306,0.9743760398116779,1.0444863465547896
-4.936603616711703,0.8411971868147212,1.2812122542515607,1.8141716374603918,0.8905717292409013,1.0040733825880268,0.9728637576996727,1.042650545601825
-4.929941533558246,0.8411971868147212,1.2812122542515607,1.8141716374603918,0.8894458058459978,1.0006438348616298,0.9745115575709272,1.0428150125570568
-4.923279450404789,0.8411971868147212,1.2812122542515607,1.7408106686462714,0.8891595558943146,1.0024188177502302,0.9778969241745031,1.0459950942477727
-4.916617367251331,0.8411971868147212,1.2812122542515607,1.7408106686462714,0.9187918775144484,1.0060345412666412,0.9782381217592517,1.0526931996757911
-4.909955284097874,0.7487882951715171,1.2812122542515607,1.7408106686462714,0.9347907766731114,1.007025045180213,0.9828197694449038,1.0491236328162337
-4.903293200944417,0.7481977261479569,1.2812122542515607,1.7137509649382365,0.9347907766731114,1.0073442309697862,0.9869549364821203,1.0495024575225378
