t_s,sep_velocity_bl_s,initiator_speed_rel,follower_speed_rel
-1.9986182885565111,-0.10244399841813763,0.7099963015922609,1.2535016913380523
-1.9919562275946563,-0.1307724811611251,0.701408601979949,1.2559282683536979
-1.9852941666328012,-0.12318984669937176,0.6887598988089658,1.2494830047528807
-1.9786321056709462,-0.12243422501750727,0.6884058568576453,1.2790371359925277
-1.971970044709091,-0.1020742047112507,0.7151665496085546,1.252966028553065
-1.965307983747236,-0.16995701097137086,0.7351446471353554,1.2347013560599942
-1.958645922785381,-0.1702798246192139,0.7518710426471364,1.25558734838751
-1.951983861823526,-0.16616976290144603,0.7684236783025893,1.294922766560128
-1.9453218008616708,-0.16324480881038322,0.7794946423666935,1.3350105255896982
-1.938659739899816,-0.1635156609640868,0.7709244669096671,1.3434473953169923
-1.931997678937961,-0.13577932267981924,0.748847036209644,1.3368228431869045
-1.9253356179761059,-0.11587054005118788,0.7271865877822639,1.3651973734140934
-1.9186735570142508,-0.09467639832602799,0.7130020369045406,1.3778708063472664
-1.9120114960523957,-0.08662422725249452,0.7185989721052847,1.3751207701130872
-1.9053494350905407,-0.07631365074429536,0.719916746000155,1.3588173189210222
-1.8986873741286856,-0.09546196478205045,0.6918141573708069,1.2659902225462978
-1.8920253131668305,-0.06712176619536155,0.7080503316887724,1.3244271852419804
-1.8853632522049757,-0.06344513782168697,0.7181771873212642,1.3302024524100804
-1.8787011912431206,-0.06563147252557631,0.7275914243168204,1.3214021636627509
-1.8720391302812656,-0.06332388809761484,0.7319353554094647,1.3033009213941622
-1.8653770693194105,-0.07567941600552809,0.7350595909384094,1.3301153927018097
-1.8587150083575554,-0.05212718902369642,0.7424374384596927,1.377672654788766
-1.8520529473957004,-0.07826343043363891,0.7622462072041606,1.3505835436440758
-1.8453908864338453,-0.08330395659091083,0.7569249066283468,1.319845572059182
-1.8387288254719902,-0.07226712182003409,0.757810772294791,1.2856067909358806
-1.8320667645101354,-0.053542793748326475,0.7412321962702055,1.2493487178013338
-1.8254047035482803,-0.058739643598958044,0.7654580786204841,1.2284222961603377
-1.8187426425864253,-0.07789861041257165,0.7325578450582519,1.2607963146941008
-1.8120805816245702,-0.08033740455683222,0.6992713597517963,1.2997991634683883
-1.8054185206627151,-0.08430706332198616,0.6947776922596589,1.3418247960024152
-1.79875645970086,-0.05666685662004875,0.6874818516217583,1.3831529927800288
-1.792094398739005,-0.05037528330024933,0.6640882590196828,1.4205356388541888
-1.78543233777715,-0.04699443782181062,0.6583691084221415,1.4357259714371462
-1.778770276815295,-0.05356012640737864,0.6616811565090451,1.433512067149212
-1.77210821585344,-0.05863661934903335,0.6444649033490991,1.444481232772852
-1.765446154891585,-0.07080626026355415,0.6526858892207081,1.4165958128028824
-1.75878409392973,-0.07450535993135332,0.655755237550645,1.3970298322711299
-1.7521220329678748,-0.08458285790829978,0.6444336770470621,1.378546041099467
-1.7454599720060198,-0.08755423469879961,0.6544041967618796,1.3617332776239743
-1.7387979110441647,-0.08763104599199045,0.6711670961079099,1.3536652698155551
-1.7321358500823096,-0.0796404370821433,0.7171526774330393,1.3629547820727068
-1.7254737891204548,-0.08159820232399041,0.6991555593508063,1.3829863401047624
-1.7188117281585997,-0.07700351311911942,0.6881198668696852,1.4166143914511802
-1.7121496671967447,-0.1012280426040333,0.6801688790240495,1.3968450178784337
-1.7054876062348896,-0.10218169526769441,0.7070365747815341,1.435200165535597
-1.6988255452730345,-0.11780142364939045,0.7257241688686114,1.4767456578833362
-1.6921634843111795,-0.07916784499386739,0.734208586273759,1.475100831602844
-1.6855014233493244,-0.08288097946596618,0.72657696046029,1.449223455764848
-1.6788393623874693,-0.08994784224955549,0.7019202624226523,1.5591366936955549
-1.6721773014256145,-0.10287228938545712,0.6669000405291381,1.6687065982006528
-1.6655152404637594,-0.1162715446934563,0.6329587124058146,1.5901019191905323
-1.6588531795019044,-0.12374319485695695,0.6122841777636382,1.5263579920952706
-1.6521911185400493,-0.12687269388648828,0.637186001599635,1.435645928088209
-1.6455290575781942,-0.1431716958258673,0.6644419695576553,1.3971062044657419
-1.6388669966163392,-0.17009203445786159,0.6878528095323494,1.3690427217567713
-1.632204935654484,-0.1733446915149294,0.6509780899570067,1.379108737725038
-1.625542874692629,-0.1797944208767325,0.6205339023146472,1.3838436106078615
-1.6188808137307742,-0.14472074833055915,0.603810873981804,1.390367186364813
-1.6122187527689191,-0.14528354586974596,0.6354466882338559,1.3871004177275386
-1.605556691807064,-0.1277756035677533,0.6641249102085752,1.4270383666601818
-1.598894630845209,-0.13193624051496136,0.6582164282362695,1.4360490792305756
-1.592232569883354,-0.1271288856152584,0.6743310951762306,1.4362843976380815
-1.5855705089214989,-0.12602164574629246,0.6881897993561539,1.4087699186858942
-1.5789084479596438,-0.13016515178130783,0.6904568942433479,1.4593013025155843
-1.5722463869977887,-0.162136002418866,0.6811940430583333,1.5289868430892255
-1.565584326035934,-0.14009379276603834,0.7075044295064563,1.6101676780457888
-1.5589222650740788,-0.09587602393210472,0.7062566743193806,1.5390762246449463
-1.5522602041122238,-0.06057158397654268,0.7212537979524892,1.4465249301470169
-1.5455981431503687,-0.0793180284440059,0.7289385803653887,1.4992843906036306
-1.5389360821885136,-0.09817806144514046,0.7753030599348425,1.4669187838787197
-1.5322740212266586,-0.11057872334026701,0.8126582152346191,1.3545169906035675
-1.5256119602648035,-0.10996499494384228,0.7827142789393449,1.3081229596721542
-1.5189498993029484,-0.10975671333524825,0.8008507600346313,1.3178092800587073
-1.5122878383410936,-0.10644755332287438,0.8129167781864615,1.3251439343182279
-1.5056257773792385,-0.10254187759724688,0.8136735128450018,1.3104858202871572
-1.4989637164173835,-0.09724474931135844,0.8068627887143035,1.2854455979423771
-1.4923016554555284,-0.09104388423797609,0.7959052163119085,1.2934761586127894
-1.4856395944936733,-0.08382831855607925,0.7542994161286933,1.3083414478917095
-1.4789775335318183,-0.08322215770563923,0.6896204167336637,1.3425547155668507
-1.4723154725699632,-0.06278197131669211,0.6996254292483005,1.3571592790858917
-1.4656534116081081,-0.05628863422297675,0.7375245720457216,1.3098409868847523
-1.4589913506462533,-0.05650250950919108,0.8005946489988176,1.2802052410646891
-1.4523292896843982,-0.05759505067819845,0.7977307573452651,1.3797121065695133
-1.4456672287225432,-0.06660112593296064,0.78571862208761,1.4857855560462332
-1.439005167760688,-0.08523074831226247,0.7817885935532167,1.4321039040272798
-1.432343106798833,-0.09340866781880605,0.784469432123036,1.3707227454309017
-1.425681045836978,-0.0708165239991356,0.7753776422018566,1.3114372305999704
-1.419018984875123,-0.06918791351662604,0.7617800061202651,1.3458561802079956
