session,by_residual_pct,by_confidence_pct
10072022120554,24.4500993456746,10.410255713334395
10072022121750,24.492536775714093,11.45379243833458
10072022122913,21.534747611568818,12.996776210618188
10072022124146,23.063788119073116,9.30765295601501
10072022125259,23.74327306142827,12.251856395340845
10072022130420,21.41099165822157,10.015260558396854
10072022131531,24.618963391846044,11.795607068390462
10072022132603,24.53592834047865,10.360280059130694
10072022133702,22.987825386650513,11.179443879414325
10072022134804,22.822177923209217,10.592429778389217
10072022135851,23.508809682256047,10.979081966037205
10072022140918,23.291084335720885,11.05299982330513
10072022161055,30.02196695596743,13.889002394862665
10072022162233,28.92269492045377,11.193923101538314
10072022163346,30.858979856587617,12.432777516881876
10072022164619,25.645767522125645,11.14207748612098
10072022170913,24.186136807873844,10.535783449227438
10072022172040,24.321616080703475,11.645341006938063
10072022173152,25.308085625515307,11.535314820308939
10072022175009,26.640399657754234,11.161340579295345
10072022180149,26.612899660960736,9.976964192922368
10072022181300,27.55446582742741,12.138437725844575
10072022183527,27.73378670931349,12.307533514538878
10072022184618,26.93889467693728,11.339182080592773
10072022193448,27.005279354225998,13.305758554339253
10072022194521,26.546447164498282,10.444290189606651
10072022200754,27.76818067284968,12.500350344933093
10072022205445,24.735733549871956,11.400353455419939
10202022145302,24.7194161892456,11.387148333097008
10202022152641,26.938674035101023,11.224186615213492
10202022155850,26.42115530697528,11.873504003072663
10202022163211,27.405076461455113,11.617039226710613
10202022170717,26.842976281313074,11.368518985640286
10212022155401,24.91921050026605,10.884392982822092
10212022165516,24.102653174370207,11.186460667649962
10212022175626,29.07050972511211,12.701304523526913
10212022181154,29.41815779399155,12.640583452466139
10302022010116,24.236951746005268,11.633735297698559
10302022013209,24.295163975485927,12.177697351065575
10302022020456,24.561653015258038,11.080566369736232
10302022023536,25.209217161100067,11.659731203682101
10302022030623,29.305226257638527,12.302264464677734
10302022031312,25.360661357646297,11.216973158089887
10302022031841,28.633653419304732,16.642104978721857
10302022032406,24.839172491347664,10.82913753272359
10302022033021,28.224466147446805,12.536764222652923
10302022033652,30.992834648095506,12.438922922667707
10302022034217,28.087622847332206,11.177085129611642
10302022034810,27.183555000992914,12.948727401861285
10302022035407,30.27888365521667,14.442586797099294
10302022035936,25.541824084036246,10.32853913414159
10302022040455,31.792237241431398,14.43771293403508
10302022041220,26.07015268921689,11.971679506060608
10302022044354,27.895442583355084,12.55245566689333
10192022174304,28.044045457899568,11.94155266839907
10192022174609,23.95728358054439,11.662324667290292
10192022174949,23.97842485663371,10.162436243870815
10192022175248,27.38676141115512,9.990678094386412
10192022175658,33.967454437060205,12.91587464314442
10192022180019,32.17822295352767,11.37028073413532
10192022180303,35.58613088524355,13.0942091622938
10192022180545,30.87183571073058,12.60235689953467
10192022181152,31.75302242875985,12.741523742862675
10192022181735,25.395659912390865,9.966801229046137
10192022183334,26.130722459893708,12.759101106046556
10192022183808,29.732249093906216,12.672801995704303
10192022184226,31.330663939991897,12.160047836960537
10072022142111,25.621068679866937,11.787507285308495
10072022143153,27.887872182019784,9.843072978641235
10072022144215,44.54565908807743,9.17983103624686
10072022145420,26.775782400680477,12.417784241314925
10072022150448,25.085140396951754,12.016135231644382
10072022151549,25.48985677869962,11.383114447330845
10072022190807,25.184024347429023,11.99554769061858
