t_s,initiator_p50,initiator_p25,initiator_p75,follower_p50,follower_p25,follower_p75,control_initiator_p50,control_follower_p50
0.0,62.21666735061953,51.943745340324554,74.22847648421723,32.55668478265167,25.419158423307056,34.61803661816798,53.94492770894321,41.143148188709745
0.0066620609618550375,62.06984328917727,51.927264895789406,74.65201233156498,32.470267980364525,25.311613427113276,34.250364010878414,53.604570763834985,41.267680890333914
0.013324121923710075,61.942026119742266,51.52619100215439,75.06535884853572,32.59284928473874,25.499770630727397,33.991620712838625,53.20394141357889,41.3722197911638
0.019986182885565112,62.041818667979584,50.803329263544256,75.4719924863351,32.609546541265516,25.70491506671832,34.04379723214319,53.743883373390844,41.60533351891108
0.02664824384742015,62.2985735446944,50.10224224773057,75.87939496797935,32.41793805442411,25.892812919248783,33.81472998042297,56.19270075079115,41.2429063940248
0.03331030480927519,62.69464706905934,49.72905870058464,76.27709837526119,32.316246209810075,26.061339945927863,33.88507153062176,58.006866405082796,40.21819579424658
0.039972365771130225,63.149604650133455,49.54121370552869,76.66138945809949,32.02600691819181,26.287338352995235,33.847133953311975,58.14013718457541,39.16497065105081
0.04663442673298526,63.41812340527194,49.35311824423499,76.96584315786498,31.828557573075603,26.549930026378732,33.97092413228425,58.34074462840382,38.741922822739966
0.0532964876948403,63.90841648858607,48.81621846159367,75.55387961779024,31.89110537284834,26.805822643245143,33.97238153552733,58.508726247385844,38.96087603816168
0.05995854865669534,64.31459456074117,48.60563199835501,74.0716130072743,31.697280213722948,27.0122930530194,34.07733379233765,58.60218351532831,39.11313405688399
0.06662060961855037,64.53484392455184,48.49613782651298,73.86553020384417,31.411848359195062,26.809546175971384,34.037657894871124,58.75470656471188,38.99380975956356
0.07328267058040541,64.76624386527763,48.57301182222374,73.66868313199012,31.036499960633925,26.480036274949377,34.102314856006515,58.91287575696501,38.9237559267623
0.07994473154226045,64.93664702520311,49.63227039622981,73.79754536830438,30.699006062949724,26.156050958656177,34.183635745635954,58.9688138408012,38.90035806861104
0.08660679250411549,63.87138855289251,49.75859190928097,74.26498358370593,30.402497855789136,25.840599583011656,34.23892550075971,59.05905273447149,38.83062877880441
0.09326885346597052,62.49022756136856,49.89057850508337,74.02929879930217,30.157571658920993,25.531774639825272,34.31758808307997,59.42166272477421,38.40141651124887
0.09993091442782556,63.605993553964026,49.97679325346735,74.15004352980654,30.26210927734995,25.246034301941396,34.52186984726768,59.30731318409463,39.17456936851241
0.1065929753896806,64.03602448161686,49.61438224784173,74.28283491506721,30.361147639531513,25.057606745722495,34.49136133269119,59.17051720957113,39.62984956671761
0.11325503635153564,64.1714133294112,49.12766378789815,74.39475364646474,29.88066166484042,25.8757774837961,34.349616395096255,59.048533774704,39.96859828671282
0.11991709731339067,64.27229912782265,48.77767145780345,74.50787507340243,29.463151067258302,26.504151136098006,34.390844811797855,58.94084950586167,39.85465974108384
0.1265791582752457,64.3410176334167,48.53456809050482,74.60175213095971,29.22748434635768,26.843322113946062,34.38676842876784,58.849317609081275,39.65598012080454
0.13324121923710075,64.26547071865104,48.46294428980577,74.57758328693018,29.80591694619601,27.122330332149254,34.38211396630872,58.780047964922474,39.470071182867116
0.1399032801989558,64.00923307569946,49.17049089012154,74.45677638842614,30.01092288364404,27.08333785446863,34.582857387200235,58.733568245766755,39.396112050350595
