difficulty,sessions,keypoints,animals,bedding,missing_pct,err_mean,err_p50,err_p95,err_p99,over_tau_pct
1,12,30199536,1,12/0,5.335976159065253,3.649017080826438,2.883225726691855,8.949369038835483,14.44850562714056,0.33256431962360866
2,13,40786166,"1, 2",8/5,10.743071524947933,3.585224989804416,2.7780923836301055,8.843497340770536,14.58492176840588,0.3808020956342776
3,9,27668941,"1, 3",4/5,22.314033075919724,4.3169148177439105,2.9457714548290634,14.021406614948262,22.492010268781467,1.605924910222239
4,13,29355207,"1, 2, 4",6/7,22.06901540861602,3.9231991742892123,2.9122285368592697,9.702380663074733,18.383312536365597,0.7991471836499074
5,10,32791049,"1, 2",6/4,22.475550550253498,4.164362286494066,3.0437854409203933,10.541776002826676,20.48298487281727,1.01570936214163
6,4,11091948,"1, 2",1/3,45.75417942846418,4.587173148278102,3.1666888921812353,12.03675143403684,26.415066408060405,1.7232103877626037
7,13,15241535,"2, 3",7/6,57.69889758886114,4.741206956780237,3.1985361507233345,12.714564176557674,27.77388406604804,1.9024398877330349
