animal,node,x,y,z
0,Nose,287.66603190214425,-297.6120411102526,96.2093088518543
0,Ear_R,262.1051869637555,-300.78443200590607,78.9275281779823
0,Ear_L,269.2654651887523,-282.64904333143494,82.58407031821147
0,TTI,220.81868169720622,-276.7804077053474,15.187436587548556
0,TailTip,138.29345341218934,-275.83334692434755,2.518544077262072
0,Head,270.01764298725857,-292.5822442698679,81.88936420569382
0,Trunk,236.66921422257332,-275.6089083774534,33.22038740002025
0,Tail_0,199.8170392091462,-290.16329014140376,7.17453645076922
0,Tail_1,177.7983157321005,-298.1769122449815,3.725709114399336
0,Tail_2,155.8603082112122,-290.6233782177459,1.2904040744758474
0,Shoulder_left,275.1574751040169,-271.1795784134211,72.50773053505503
0,Shoulder_right,265.1948887097202,-290.21871964771225,65.3356672995399
0,Haunch_left,241.01938323199508,-257.17080287888075,18.542745419508034
0,Haunch_right,236.76745475011154,-284.3031463455413,20.524999829525562
0,Neck,262.81772148068745,-286.6392528679752,76.64106214950183
1,Nose,288.19088167007254,-297.2769861275095,103.9692791823631
1,Ear_R,285.77746995222884,-265.40760520834806,92.77727671956912
1,Ear_L,305.59886876298566,-266.5414123137919,105.53005602107807
1,TTI,295.39377309676615,-239.31117387821348,19.529545314067537
1,TailTip,278.1032711351907,-149.34065863167677,4.270013350338541
1,Head,295.66224741242246,-271.59027588070694,101.2726767331096
1,Trunk,300.33196171641777,-254.7641798747911,31.273572032125585
1,Tail_0,292.8691021666651,-216.18841808484495,11.752433894980735
1,Tail_1,290.7611895938636,-194.01757630134628,8.144263666050483
1,Tail_2,283.5137473407534,-172.07303597898823,4.519635013051174
1,Shoulder_left,310.19716493245187,-274.7416978076386,71.06520325673984
1,Shoulder_right,289.4080511155017,-273.34693271175513,72.41791406951099
1,Haunch_left,310.13745247120426,-251.34764766154166,22.17013588274255
1,Haunch_right,284.1258541938557,-255.4195390615037,20.038755508594228
1,Neck,298.18020668861055,-265.0904712406061,89.14888579833358
