difficulty,cameras,residual_missing_pct,recovered_pct_of_missing,raw_miss_pct
1,2,5.38414470808837,0.0,5.38414470808837
1,3,3.149544223409638,41.5033511510526,5.38414470808837
1,4,2.2073826565219368,59.002166988456295,5.38414470808837
1,5,1.6744093075861464,68.90110874860491,5.38414470808837
1,6,1.3350001018232631,75.20497359928403,5.38414470808837
2,2,12.446394403667403,0.0,12.446394403667403
2,3,9.084627838155159,27.009963339436528,12.446394403667403
2,4,7.557170322604076,39.282252534297704,12.446394403667403
2,5,6.633529695955856,46.703201900775014,12.446394403667403
2,6,5.978936387517645,51.96250260432117,12.446394403667403
3,2,23.48144117477712,0.0,23.48144117477712
3,3,17.95359722617766,23.541331673190758,23.48144117477712
3,4,14.99936614655101,36.1224635451134,23.48144117477712
3,5,13.16846635507552,43.91968424314352,23.48144117477712
3,6,11.904152177040467,49.303996767338724,23.48144117477712
4,2,28.238919224874316,0.0,28.238919224874316
4,3,21.404021129657387,24.20382324404397,28.238919224874316
4,4,17.398386182778175,38.38862583858107,28.238919224874316
4,5,14.894415149849062,47.25571814119119,28.238919224874316
4,6,13.165081859246943,53.37965396476488,28.238919224874316
5,2,20.04492702266513,0.0,20.04492702266513
5,3,14.177184868283048,29.272953439777233,20.04492702266513
5,4,11.227117981505973,43.990227707931865,20.04492702266513
5,5,9.452830490938924,52.841781462958444,20.04492702266513
5,6,8.202498970846055,59.079427121029916,20.04492702266513
6,2,47.22189443263556,0.0,47.22189443263556
6,3,40.3976533903002,14.451434285573793,47.22189443263556
6,4,35.498810631345584,24.825526256710333,47.22189443263556
6,5,31.978310818629748,32.2807540806131,47.22189443263556
6,6,29.36690909561542,37.810819645304974,47.22189443263556
7,2,57.07387324970058,0.0,57.07387324970058
7,3,50.555535512234755,11.420878532192525,57.07387324970058
7,4,45.273425020964524,20.675744533945704,57.07387324970058
7,5,41.10612037117226,27.977342292275726,57.07387324970058
7,6,37.7269494183095,33.898039032233676,57.07387324970058
