series,bin_center_deg,probability
head_t0,-172.5,0.0004135059601893572
head_t0,-157.5,0.0
head_t0,-142.5,0.0
head_t0,-127.50000000000001,0.0015684708834768721
head_t0,-112.5,0.0023954828038555867
head_t0,-97.5,0.00886898990475104
head_t0,-82.50000000000001,0.020518450921120174
head_t0,-67.5,0.029387440825871216
head_t0,-52.5,0.05722066959447898
head_t0,-37.49999999999999,0.10309131352307078
head_t0,-22.5,0.11883305766269321
head_t0,-7.499999999999999,0.14320139166143844
head_t0,7.499999999999999,0.13789710831004393
head_t0,22.5,0.14670906290994126
head_t0,37.49999999999999,0.12955569497518965
head_t0,52.5,0.051788056807163634
head_t0,67.5,0.024040380995836424
head_t0,82.50000000000001,0.008241601551360292
head_t0,97.5,0.005831859921291279
head_t0,112.5,0.0033223065077282836
head_t0,127.50000000000001,0.0028945417213255007
head_t0,142.5,0.0021245651058004905
head_t0,157.5,0.0008270119203787144
head_t0,172.5,0.0012690355329949238
head_t1,-172.5,0.020005133177436834
head_t1,-157.5,0.029045228996748988
head_t1,-142.5,0.037671818855871786
head_t1,-127.50000000000001,0.03570410083841898
head_t1,-112.5,0.033707865168539325
head_t1,-97.5,0.04501511435578623
head_t1,-82.50000000000001,0.06041464666628643
head_t1,-67.5,0.06966862487879998
head_t1,-52.5,0.08501112188444647
head_t1,-37.49999999999999,0.05649346945759425
head_t1,-22.5,0.035333371356869904
head_t1,-7.499999999999999,0.015142873438658529
head_t1,7.499999999999999,0.021017509838590086
head_t1,22.5,0.04557120857810985
head_t1,37.49999999999999,0.06319511777790453
head_t1,52.5,0.05992984657502994
head_t1,67.5,0.0627958706439286
head_t1,82.50000000000001,0.049549421091655735
head_t1,97.5,0.039653795699538016
head_t1,112.5,0.03310899446757543
head_t1,127.50000000000001,0.03349398277533793
head_t1,142.5,0.026678263845320252
head_t1,157.5,0.021545086408486853
head_t1,172.5,0.02024753322306508
body_t0,-172.5,0.0007414589630981577
body_t0,-157.5,0.0005846118747504706
body_t0,-142.5,0.00025665887184167
body_t0,-127.50000000000001,0.0016255061883305767
body_t0,-112.5,0.0007272001368847316
body_t0,-97.5,0.007414589630981578
body_t0,-82.50000000000001,0.02114583927451092
body_t0,-67.5,0.060571493754634116
body_t0,-52.5,0.10735470256088518
body_t0,-37.49999999999999,0.13605771972851194
body_t0,-22.5,0.09164147607368961
body_t0,-7.499999999999999,0.04789539725089831
body_t0,7.499999999999999,0.06931215422346433
body_t0,22.5,0.09875663035418925
body_t0,37.49999999999999,0.11726458677921633
body_t0,52.5,0.10980722066959447
body_t0,67.5,0.07592824958649404
body_t0,82.50000000000001,0.03511948896366851
body_t0,97.5,0.010038213654251981
body_t0,112.5,0.0033936006387954142
body_t0,127.50000000000001,0.0012547767067814977
body_t0,142.5,0.0013118120116352022
body_t0,157.5,0.0007414589630981577
body_t0,172.5,0.0010551531397935323
body_t1,-172.5,0.016654309017281696
body_t1,-157.5,0.026407346147265157
body_t1,-142.5,0.02771915815890036
body_t1,-127.50000000000001,0.031355158843324016
body_t1,-112.5,0.03534763018308333
body_t1,-97.5,0.04982033878971083
body_t1,-82.50000000000001,0.06675982433126106
body_t1,-67.5,0.0882478754348942
body_t1,-52.5,0.06608965949923003
body_t1,-37.49999999999999,0.049435350481948324
body_t1,-22.5,0.03288085324816061
body_t1,-7.499999999999999,0.026792334455027662
body_t1,7.499999999999999,0.04089431358010608
body_t1,22.5,0.04993440939941824
body_t1,37.49999999999999,0.06308104716819711
body_t1,52.5,0.06125591741287857
body_t1,67.5,0.05897450521873039
body_t1,82.50000000000001,0.047310785376147836
body_t1,97.5,0.04066617236069127
body_t1,112.5,0.03547595961900416
body_t1,127.50000000000001,0.02550904009581931
body_t1,142.5,0.02104602749101694
body_t1,157.5,0.018978497690070154
body_t1,172.5,0.01936348599783266
