369 cells, 12 workers
[54/369] OK triads/2023_03_15_M2_M3_M4/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[55/369] OK triads/2023_03_15_M2_M3_M4/C7d_cams5_drop25 idf1=0.942062 acc=0.943957 sw=4
[56/369] OK bedding/2024_05_05_F1_F2/C7d_cams3_drop25 idf1=0.804872 acc=0.831886 sw=44
[57/369] OK bedding/2024_05_05_F1_F2/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[58/369] OK triads/2023_03_15_M2_M3_M4/C7d_cams6_drop25 idf1=0.999501 acc=0.999998 sw=0
[59/369] OK bedding/2024_05_05_F1_F2/C7d_cams4_drop25 idf1=0.619563 acc=0.624388 sw=50
[60/369] OK bedding/2024_05_05_F1_F2/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[61/369] OK bedding/2024_05_05_F5_F3/C7d_cams2_drop25 idf1=0.855629 acc=0.99878 sw=153
[62/369] OK bedding/2024_05_05_F5_F3/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[63/369] OK bedding/2024_05_05_F1_F2/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[64/369] OK bedding/2024_05_05_F1_F2/C7d_cams5_drop25 idf1=0.734067 acc=0.735546 sw=12
[65/369] OK bedding/2024_05_05_F1_F2/C7d_cams6_drop25 idf1=0.58626 acc=0.586555 sw=22
[66/369] OK bedding/2024_05_05_F5_F3/C7d_cams3_drop25 idf1=0.846525 acc=0.874649 sw=15
[67/369] OK bedding/2024_05_05_F5_F3/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[68/369] OK bedding/2024_05_05_F5_F3/C7d_cams4_drop25 idf1=0.867916 acc=0.874821 sw=10
[69/369] OK bedding/2024_05_07_F1_F3/C7d_cams2_drop25 idf1=0.507352 acc=0.592134 sw=124
[70/369] OK bedding/2024_05_05_F5_F3/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[71/369] OK bedding/2024_05_07_F1_F3/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[72/369] OK bedding/2024_05_05_F5_F3/C7d_cams5_drop25 idf1=0.621841 acc=0.623074 sw=10
[73/369] OK bedding/2024_05_05_F5_F3/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[74/369] OK bedding/2024_05_05_F5_F3/C7d_cams6_drop25 idf1=0.999471 acc=0.999953 sw=8
[75/369] OK bedding/2024_05_07_F1_F3/C7d_cams3_drop25 idf1=0.562216 acc=0.580929 sw=30
[76/369] OK bedding/2024_05_07_F1_F3/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[77/369] OK bedding/2024_05_07_F1_F3/C7d_cams4_drop25 idf1=0.902417 acc=0.909553 sw=16
[78/369] OK bedding/2024_05_07_F1_F3/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[79/369] OK bedding/2024_05_07_F5_F3/C7d_cams2_drop25 idf1=0.725142 acc=0.846537 sw=89
[80/369] OK bedding/2024_05_07_F5_F3/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[81/369] OK bedding/2024_05_07_F1_F3/C7d_cams5_drop25 idf1=0.907613 acc=0.909379 sw=6
[82/369] OK bedding/2024_05_07_F5_F3/C7d_cams3_drop25 idf1=0.967895 acc=0.999953 sw=12
[83/369] OK bedding/2024_05_07_F5_F3/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[84/369] OK bedding/2024_05_07_F1_F3/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[85/369] OK bedding/2024_05_07_F1_F3/C7d_cams6_drop25 idf1=0.909245 acc=0.909678 sw=4
[86/369] OK bedding/2024_05_07_F5_F3/C7d_cams4_drop25 idf1=0.992204 acc=0.999985 sw=4
[87/369] OK bedding/2024_05_07_F5_F3/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[88/369] OK bedding/2024_05_07_F6_F2/C7d_cams2_drop25 idf1=0.689971 acc=0.80533 sw=15
[89/369] OK bedding/2024_05_07_F5_F3/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[90/369] OK bedding/2024_05_07_F6_F2/C7c_cams2_sigma0 idf1=0.969744 acc=0.969744 sw=2
[91/369] OK bedding/2024_05_07_F5_F3/C7d_cams5_drop25 idf1=0.998065 acc=0.999975 sw=4
[92/369] OK bedding/2024_05_07_F5_F3/C7d_cams6_drop25 idf1=0.999498 acc=0.999977 sw=0
[93/369] OK bedding/2024_05_07_F6_F2/C7c_cams3_sigma0 idf1=0.969744 acc=0.969744 sw=2
[94/369] OK bedding/2024_05_07_F6_F2/C7d_cams3_drop25 idf1=0.697836 acc=0.72123 sw=30
[95/369] OK bedding/2024_05_07_F6_F2/C7d_cams4_drop25 idf1=0.797607 acc=0.803794 sw=20
[96/369] OK bedding/2024_05_07_F6_F3/C7d_cams2_drop25 idf1=0.856824 acc=1.0 sw=0
[97/369] OK bedding/2024_05_07_F6_F2/C7c_cams4_sigma0 idf1=0.969742 acc=0.969742 sw=2
[98/369] OK bedding/2024_05_07_F6_F3/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[99/369] OK bedding/2024_05_07_F6_F2/C7d_cams5_drop25 idf1=0.967787 acc=0.969667 sw=6
[100/369] OK bedding/2024_05_07_F6_F2/C7c_cams5_sigma0 idf1=0.969742 acc=0.969742 sw=2
[101/369] OK bedding/2024_05_07_F6_F2/C7d_cams6_drop25 idf1=0.515555 acc=0.515797 sw=10
[102/369] OK bedding/2024_05_07_F6_F3/C7d_cams3_drop25 idf1=0.967596 acc=0.999989 sw=3
[103/369] OK bedding/2024_05_07_F6_F3/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[104/369] OK bedding/2024_05_07_F6_F3/C7d_cams4_drop25 idf1=0.992161 acc=0.999977 sw=4
[105/369] OK soc1/2022_09_22_M3_M4/C7d_cams2_drop25 idf1=0.623235 acc=0.72704 sw=28
[106/369] OK soc1/2022_09_22_M3_M4/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[107/369] OK bedding/2024_05_07_F6_F3/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[108/369] OK bedding/2024_05_07_F6_F3/C7d_cams5_drop25 idf1=0.998076 acc=0.999985 sw=4
[109/369] OK bedding/2024_05_07_F6_F3/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[110/369] OK soc1/2022_09_22_M3_M4/C7d_cams3_drop25 idf1=0.927327 acc=0.957947 sw=31
[111/369] OK soc1/2022_09_22_M3_M4/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[112/369] OK bedding/2024_05_07_F6_F3/C7d_cams6_drop25 idf1=0.999498 acc=0.999981 sw=6
[113/369] OK soc1/2022_09_22_M3_M4/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[114/369] OK soc1/2022_09_22_M3_M4/C7d_cams4_drop25 idf1=0.721396 acc=0.727071 sw=20
[115/369] OK soc1/2022_09_22_M5_M6/C7d_cams2_drop25 idf1=0.42913 acc=0.500744 sw=56
[116/369] OK soc1/2022_09_22_M5_M6/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[117/369] OK soc1/2022_09_22_M3_M4/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[118/369] OK soc1/2022_09_22_M3_M4/C7d_cams5_drop25 idf1=0.893278 acc=0.895047 sw=10
[119/369] OK soc1/2022_09_22_M5_M6/C7d_cams3_drop25 idf1=0.484205 acc=0.500229 sw=20
[120/369] OK soc1/2022_09_22_M5_M6/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[121/369] OK soc1/2022_09_22_M3_M4/C7d_cams6_drop25 idf1=0.999462 acc=0.99995 sw=8
[122/369] OK soc1/2022_09_22_M5_M6/C7d_cams4_drop25 idf1=0.497178 acc=0.501134 sw=4
[123/369] OK soc1/2022_09_22_M5_M6/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[124/369] OK soc1/2022_09_23_M1_M6/C7d_cams2_drop25 idf1=0.724629 acc=0.845073 sw=26
[125/369] OK soc1/2022_09_23_M1_M6/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[126/369] OK soc1/2022_09_22_M5_M6/C7d_cams5_drop25 idf1=0.998042 acc=0.999965 sw=8
[127/369] OK soc1/2022_09_22_M5_M6/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[128/369] OK soc1/2022_09_22_M5_M6/C7d_cams6_drop25 idf1=0.999482 acc=0.999958 sw=8
[129/369] OK soc1/2022_09_23_M1_M6/C7d_cams3_drop25 idf1=0.514012 acc=0.531042 sw=24
[130/369] OK soc1/2022_09_23_M1_M6/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[131/369] OK soc1/2022_09_23_M1_M6/C7d_cams4_drop25 idf1=0.992134 acc=0.999977 sw=2
