328 cells, 12 workers
[58/328] OK bedding/2024_05_05_F1_F2/C7b_cams5_sigma10 idf1=0.792336 acc=0.792336 sw=6
[59/328] OK bedding/2024_05_05_F5_F3/C7_cams3 idf1=0.878622 acc=0.878622 sw=2
[60/328] OK bedding/2024_05_05_F5_F3/C7b_cams3_sigma10 idf1=0.728993 acc=0.728993 sw=22
[61/328] OK bedding/2024_05_05_F5_F3/C7_cams4 idf1=1.0 acc=1.0 sw=0
[62/328] OK bedding/2024_05_05_F5_F3/C7b_cams4_sigma10 idf1=0.857992 acc=0.857992 sw=22
[63/328] OK bedding/2024_05_05_F5_F3/C7_cams5 idf1=0.999998 acc=0.999998 sw=0
[64/328] OK bedding/2024_05_07_F1_F3/C7_cams2 idf1=1.0 acc=1.0 sw=0
[65/328] OK bedding/2024_05_05_F5_F3/C7b_cams5_sigma10 idf1=0.999833 acc=0.999833 sw=12
[66/328] OK bedding/2024_05_07_F1_F3/C7b_cams2_sigma10 idf1=0.999989 acc=0.999989 sw=2
[67/328] OK bedding/2024_05_07_F1_F3/C7_cams3 idf1=1.0 acc=1.0 sw=0
[68/328] OK bedding/2024_05_07_F1_F3/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[69/328] OK bedding/2024_05_07_F1_F3/C7_cams4 idf1=1.0 acc=1.0 sw=0
[70/328] OK bedding/2024_05_07_F5_F3/C7_cams2 idf1=1.0 acc=1.0 sw=0
[71/328] OK bedding/2024_05_07_F1_F3/C7b_cams4_sigma10 idf1=0.999997 acc=0.999997 sw=0
[72/328] OK bedding/2024_05_07_F5_F3/C7b_cams2_sigma10 idf1=0.850322 acc=0.850322 sw=14
[73/328] OK bedding/2024_05_07_F1_F3/C7_cams5 idf1=1.0 acc=1.0 sw=0
[74/328] OK bedding/2024_05_07_F1_F3/C7b_cams5_sigma10 idf1=0.999998 acc=0.999998 sw=0
[75/328] OK bedding/2024_05_07_F5_F3/C7_cams3 idf1=1.0 acc=1.0 sw=0
[76/328] OK bedding/2024_05_07_F5_F3/C7b_cams3_sigma10 idf1=0.847996 acc=0.847996 sw=18
[77/328] OK bedding/2024_05_07_F5_F3/C7_cams4 idf1=1.0 acc=1.0 sw=0
[78/328] OK bedding/2024_05_07_F5_F3/C7b_cams4_sigma10 idf1=0.999906 acc=0.999906 sw=6
[79/328] OK bedding/2024_05_07_F6_F2/C7_cams2 idf1=0.969744 acc=0.969744 sw=2
[80/328] OK bedding/2024_05_07_F6_F2/C7b_cams2_sigma10 idf1=0.649867 acc=0.649867 sw=4
[81/328] OK bedding/2024_05_07_F5_F3/C7_cams5 idf1=1.0 acc=1.0 sw=0
[82/328] OK bedding/2024_05_07_F5_F3/C7b_cams5_sigma10 idf1=0.847927 acc=0.847927 sw=2
[83/328] OK bedding/2024_05_07_F6_F2/C7_cams3 idf1=0.969744 acc=0.969744 sw=2
[84/328] OK bedding/2024_05_07_F6_F2/C7b_cams3_sigma10 idf1=0.733526 acc=0.733526 sw=6
[85/328] OK bedding/2024_05_07_F6_F2/C7_cams4 idf1=0.969697 acc=0.969697 sw=2
[86/328] OK bedding/2024_05_07_F6_F2/C7b_cams4_sigma10 idf1=0.9697 acc=0.9697 sw=2
[87/328] OK bedding/2024_05_07_F6_F3/C7_cams2 idf1=1.0 acc=1.0 sw=0
[88/328] OK bedding/2024_05_07_F6_F3/C7b_cams2_sigma10 idf1=0.999556 acc=0.999556 sw=2
[89/328] OK bedding/2024_05_07_F6_F2/C7_cams5 idf1=0.886082 acc=0.886082 sw=4
[90/328] OK bedding/2024_05_07_F6_F2/C7b_cams5_sigma10 idf1=0.96974 acc=0.96974 sw=2
[91/328] OK bedding/2024_05_07_F6_F3/C7_cams3 idf1=1.0 acc=1.0 sw=0
[92/328] OK bedding/2024_05_07_F6_F3/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[93/328] OK bedding/2024_05_07_F6_F3/C7_cams4 idf1=1.0 acc=1.0 sw=0
[94/328] OK soc1/2022_09_22_M3_M4/C7_cams2 idf1=1.0 acc=1.0 sw=0
[95/328] OK soc1/2022_09_22_M3_M4/C7b_cams2_sigma10 idf1=0.584635 acc=0.584635 sw=10
[96/328] OK bedding/2024_05_07_F6_F3/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[97/328] OK bedding/2024_05_07_F6_F3/C7b_cams5_sigma10 idf1=0.999998 acc=0.999998 sw=0
[98/328] OK bedding/2024_05_07_F6_F3/C7_cams5 idf1=1.0 acc=1.0 sw=0
[99/328] OK soc1/2022_09_22_M3_M4/C7_cams3 idf1=1.0 acc=1.0 sw=0
[100/328] OK soc1/2022_09_22_M3_M4/C7b_cams3_sigma10 idf1=0.584633 acc=0.584633 sw=2
[101/328] OK soc1/2022_09_22_M3_M4/C7_cams4 idf1=1.0 acc=1.0 sw=0
[102/328] OK soc1/2022_09_22_M5_M6/C7_cams2 idf1=1.0 acc=1.0 sw=0
[103/328] OK soc1/2022_09_22_M5_M6/C7b_cams2_sigma10 idf1=0.70864 acc=0.70864 sw=8
[104/328] OK soc1/2022_09_22_M3_M4/C7b_cams4_sigma10 idf1=0.58466 acc=0.58466 sw=6
[105/328] OK soc1/2022_09_22_M3_M4/C7_cams5 idf1=1.0 acc=1.0 sw=0
[106/328] OK soc1/2022_09_22_M3_M4/C7b_cams5_sigma10 idf1=0.584593 acc=0.584593 sw=6
[107/328] OK soc1/2022_09_22_M5_M6/C7_cams3 idf1=1.0 acc=1.0 sw=0
[108/328] OK soc1/2022_09_22_M5_M6/C7b_cams3_sigma10 idf1=0.56533 acc=0.56533 sw=2
[109/328] OK soc1/2022_09_22_M5_M6/C7_cams4 idf1=1.0 acc=1.0 sw=0
[110/328] OK soc1/2022_09_22_M5_M6/C7b_cams4_sigma10 idf1=0.565362 acc=0.565362 sw=2
[111/328] OK soc1/2022_09_22_M5_M6/C7_cams5 idf1=1.0 acc=1.0 sw=0
[112/328] OK soc1/2022_09_23_M1_M6/C7_cams2 idf1=1.0 acc=1.0 sw=0
[113/328] OK soc1/2022_09_23_M1_M6/C7b_cams2_sigma10 idf1=0.99909 acc=0.99909 sw=2
[114/328] OK soc1/2022_09_22_M5_M6/C7b_cams5_sigma10 idf1=0.999991 acc=0.999991 sw=0
[115/328] OK soc1/2022_09_23_M1_M6/C7b_cams3_sigma10 idf1=0.999985 acc=0.999985 sw=0
[116/328] OK soc1/2022_09_23_M1_M6/C7_cams3 idf1=1.0 acc=1.0 sw=0
[117/328] OK soc1/2022_09_23_M1_M6/C7_cams4 idf1=1.0 acc=1.0 sw=0
[118/328] OK soc1/2022_09_23_M1_M6/C7b_cams4_sigma10 idf1=0.999994 acc=0.999994 sw=0
[119/328] OK soc1/2022_09_23_M3_M2/C7_cams2 idf1=1.0 acc=1.0 sw=0
[120/328] OK soc1/2022_09_23_M3_M2/C7b_cams2_sigma10 idf1=0.875758 acc=0.875758 sw=24
[121/328] OK soc1/2022_09_23_M1_M6/C7_cams5 idf1=1.0 acc=1.0 sw=0
[122/328] OK soc1/2022_09_23_M1_M6/C7b_cams5_sigma10 idf1=0.999996 acc=0.999996 sw=0
[123/328] OK soc1/2022_09_23_M3_M2/C7_cams3 idf1=0.875959 acc=0.875959 sw=2
[124/328] OK soc1/2022_09_23_M3_M2/C7b_cams3_sigma10 idf1=0.875667 acc=0.875667 sw=14
[125/328] OK soc1/2022_09_23_M3_M2/C7_cams4 idf1=0.875958 acc=0.875958 sw=2
[126/328] OK soc1/2022_09_23_M3_M2/C7b_cams4_sigma10 idf1=0.875688 acc=0.875688 sw=18
[127/328] OK soc1/2022_09_23_M5_M4/C7_cams2 idf1=0.999708 acc=0.999708 sw=4
[128/328] OK soc1/2022_09_23_M5_M4/C7b_cams2_sigma10 idf1=0.999708 acc=0.999708 sw=4
