label,animals,cameras,hypotheses,exhaustive_s,luc3d_s,luc3d_session,frames_considered,frames_computed,dataset,hypotheses_distinct,extrapolated,exhaustive_hi_s,exhaustive_lo_s,exhaustive_plot_s
2×5,2,5,32,0.01146004908348285,0.0011243333333333333,20250827_141755,9004392,4324469,BMimica,16,False,0.01146004908348285,0.01146004908348285,0.01146004908348285
2×6,2,6,64,0.015921598883287574,0.0011956666666666667,10072022131531,545934,237841,SLAP-2M,32,False,0.015921598883287574,0.015921598883287574,0.015921598883287574
3×5,3,5,7776,3.35596114840737,0.0015016666666666666,10072022142111,72580,7001,SLAP-2M,1296,False,3.35596114840737,3.35596114840737,3.35596114840737
4×3,4,3,13824,6.950961666666666,0.0011706666666666666,10072022145420,55597,3000,SLAP-2M,576,False,6.950961666666666,6.950961666666666,6.950961666666666
4×6,4,6,191102976,,0.0024416666666666666,10072022145420,0,0,SLAP-2M,7962624,True,96090.09407999998,1980.9016466631067,1980.9016466631067
