session,start_frame,end_frame,dur_s,pre_t0,pre_t1,post_t0,post_t1,late_t0,late_t1
20250827_152238,26617,26668,0.33976194013394617,-1.0279549408194648,-0.020097391286532994,-0.4530629485500155,0.20352144400000802,-1.6052618119624378,0.25270449144938756
20250827_152238,42614,42714,0.6661998826155807,-0.05215902550759184,-0.06290081092388965,-0.37798932369293564,0.3794488399231087,-1.7272892206165338,2.208421301640091
20250827_152238,42784,42915,0.8727218462264107,-0.11018671053565839,-0.10043828495670512,-1.2915389219896463,2.193148488046946,-1.4772031321427415,-0.13231807297915885
20250827_152238,56459,56592,0.8860458438787223,-1.5676418275353263,0.019361668608176563,-0.3042157571665548,0.025479766097737177,-0.31547911706572285,-0.2404807073543699
20250827_152238,56619,56915,1.971951652542119,-0.5794244599744625,0.07239308071939486,-0.1831798830776947,-0.6096536780901035,-4.50761297214888,2.8261932312684377
20250827_152238,92795,93248,3.0178854682485805,-0.08066886734627768,-0.01939723605433821,-0.24821226536305163,-0.13354809958586253,-0.029304001844570125,-0.5734240287970146
20250827_152238,109684,109858,1.1591877957511105,-0.2138502936072076,-0.291926362683595,-0.24723060158734214,-0.2668430957469019,-0.4139478468750635,-0.1633072897769386
20250827_152238,120463,120632,1.1258778016203315,-0.13115950416770242,0.23245160200045462,-0.14376305877324258,2.876216895862208,-5.190318794455574,2.376414124068048
20250827_152238,154650,154772,0.8127638567910085,-0.2834515649417469,-0.09010440645474432,-0.9697236815961056,0.7230522075769419,-1.5613261895835944,-0.010045816574462352
20250827_152238,156267,156379,0.7461438685294504,-0.4076766425615475,-0.0706974728530287,-0.3533707133021211,0.6445769038491878,-3.985324456598889,4.448814532287507
20250827_152238,157255,157433,1.1858357910557338,-0.6799428357849486,-0.006537709848545086,-3.957573236618879,3.0828893475706662,-2.4347718263048717,0.04242543026277089
20250827_162428,18056,18173,0.7794543819326472,-0.6848475343276077,-0.014363579857983397,-1.87711160835827,3.0340539088476737,-0.46931679962095657,2.538249184756787
20250827_172440,80131,80171,0.26648030810453227,-8.819596188522233,1.2392844610663472,-5.253395556187721,0.9294260895578191,-5.946867910280043,1.0125793281254885
20250829_134647,21026,21094,0.4530153165810934,-0.7423575912553741,-0.02513240443599748,-0.16933886033843382,-0.31513858684024426,-0.22084895276387237,-0.5115777359341176
20250829_134647,85615,85701,0.5729311356760887,-0.42946880074560667,-1.0064279811294505,-0.3605797639688018,-1.9273234774624444,-1.0909734052711177,-1.7522007428568858
20250829_134647,124143,124261,0.7861148140671915,-0.18432684024576798,-0.2298274190043739,-0.6921882148423871,-2.25240140319011,5.266436257112158,-1.1173971957126845
20250829_141847,18325,18396,0.4730022317710936,-0.2304664623793018,-0.029826727738244633,-0.2189317313361907,-0.1107513068180826,-0.11559802641328572,-0.23636901539066466
20250829_141847,21177,21228,0.3397621664834616,-0.5054528602060196,-0.20841021602747256,-0.2894012845575048,-0.04862703499638275,3.9832406636176745,-0.21168638647281793
20250829_141847,21326,21390,0.4263682089204224,-0.3686586291220932,-0.11367021331352377,3.9832406636176745,-0.14837791792503263,2.3730849321982506,-0.21876851676167267
20250829_141847,23811,23856,0.299790146897172,-1.69060269580649,-0.19572915871554403,-0.1556107467375987,-0.13197555394515925,-0.3137642449148845,0.12336534497014519
20250829_141847,24057,24212,1.032610505979148,-0.16772660561518327,-0.13516364936362443,-0.32338028220034776,-0.0481497131848952,-0.1874387250282299,-0.11856878548990253
20250829_141847,40614,40652,0.2531561240465008,-0.23633439327738892,-0.10876763700758994,-0.3157481953473635,-0.28672560758794574,0.2287425426341142,-0.1853243071352373
20250829_141847,40685,40892,1.3790346757269911,-0.2721732892351581,-0.10038901847268848,0.42288978170114466,-0.16638812934025649,0.29415145189886044,-0.06915106838807895
20250829_144840,767,810,0.2864663312123722,-2.2719058744346627,-0.18413583230095085,-0.7719513616666734,-0.18730781325881526,-0.35740243844717956,-0.15028603922473632
20250829_144840,6516,6662,0.9726531245815427,-3.2399503560361675,-0.14589838905943592,-2.8267121412365452,1.5509147625302622,0.5851219738646056,1.6733482402730444
20250829_144840,14792,14864,0.47966455458815804,-2.597720978731904,-0.003227473722768662,-2.1136465110451255,0.8562170277008578,-19.857551283549764,0.8265027770622123
20250829_144840,21317,21369,0.3464244005358919,-2.0279544619395593,-0.0733732968527073,-0.6818914083605155,-0.017641725689643395,-1.248846091825216,4.319115819338788
20250829_144840,23579,23670,0.6062427009378109,-4.425768535757646,-0.11882321207316254,-2.5539285253461705,0.44450006786021407,-21.85968803354618,4.971414603944381
20250829_144840,24686,24802,0.7727928935031435,-0.36849141029819754,0.010460959803235942,-0.7690249638847266,0.0059436895007918935,-0.493433239903587,-0.16088271912652943
20250829_144840,31310,31416,0.7061728164770105,-3.812673805302339,-0.4360534114357811,-4.158811845836846,1.6788500572951932,-5.300867590801222,0.8389356977350472
20250829_144840,36444,36695,1.67216393335594,-0.48547254945151475,-0.327703925493489,-0.9114548624353382,-0.045634277344929565,0.049767609378878516,2.650999445362603
20250829_144840,70041,70081,0.26648030810453227,-3.535202080999161,-0.23470568992562363,-1.6796831229066111,2.7803868089807313,-0.49479265646039666,-0.18046758653691275
20250829_162253,8618,8667,0.32643881237562844,-0.2614408938979003,-0.11215101345093804,-0.37025826306257864,-0.058446852785345976,-0.16951293625169456,-0.27904875513506106
20250829_162253,17710,17905,1.2990932329234193,-0.44026055273198866,0.019585670862326356,1.2059041727942932,-0.0933069179449478,3.7197144838529357,0.4354716640399883
20250829_162253,33677,33837,1.0659226526551133,-0.18559871232697775,0.08746481281499613,-0.6055517608787834,0.7088775757669935,-4.155117891257227,4.326807650272976
20250829_162253,40661,40744,0.55294737606484,-6.960931311186972,0.1223550591969086,1.4040810991318486,0.22110961949878258,0.21418441326601415,0.5193078195099429
20250829_162253,41962,42029,0.4463551107993287,-2.8497795844231018,-0.10858348041083275,-10.80355826994495,6.960531379874383,-13.234824318952334,8.897149724089994
20250829_162253,50747,50874,0.8460761055449962,-0.29786242578667427,0.044861089236500104,-1.4233363175485,0.07003927673993877,-9.731252203316238,7.7994612952795705
20250829_162253,53580,53630,0.3331008289547229,-5.897574711650975,3.1064363540525055,-0.6615364677115221,0.5071229238922771,-0.3196880689703994,-0.20082125723738975
20250829_162253,57676,58040,2.4249740347903828,-0.18172016163106755,0.4026207842778493,-1.2899176054622505,3.338200459967713,-4.208261327877974,0.3327945800750817
20250829_162253,58571,58743,1.145866851604247,-4.208261327877974,0.4054644382028228,-3.8194762932701094,2.881788164090862,-2.5880393315746852,0.5333172844611814
20250829_162253,62420,62575,1.032612569759641,-3.547424113675511,0.3520208115925527,-2.172700221066702,-0.19713330249639477,-12.83081715511809,8.476148613573828
20250829_162253,79307,79420,0.7528078734376737,-5.913205161762611,0.7007557054044123,-8.396792713964555,5.989319630024741,-9.012075242804233,6.808037192254068
20250829_162253,81930,81972,0.27980469632196725,-1.3620979862154081,0.7623341380154025,-3.1443573769248747,1.950211223071941,-11.047473765113489,7.412400565769862
20250829_162253,83012,83344,2.21178950425936,-1.8650334404873699,2.1838466247223276,-1.9057478661164449,0.8777006599990619,-8.365278922043117,5.313727492292592
20250829_162253,95957,96075,0.7861179563331461,-0.11899081719507977,-0.14819060181880409,-0.19786119649934253,-0.2705001201740254,0.3843673240771456,3.707977729891881
20250829_162253,112162,112320,1.0525986194969243,-4.029829875466759,-0.033776452916254564,-0.16781144241636006,-0.2595344608294063,-0.25909932718379663,0.5112893355323714
20250829_162253,112545,112652,0.712835773963107,-0.16781144241636006,-0.2595344608294063,-0.11166420457823503,-0.2711080107455838,-1.2657647855496343,4.8655907306993935
20250829_162253,115862,115910,0.319776795796534,-1.5915678388238652,-0.27088180121125055,-0.24051222636925368,-0.2160667209510737,0.03329258050875744,1.2793515272365805
20250829_162253,131271,131407,0.9060342547568463,-1.7310163063536357,0.6598524153846396,-0.39126930286662853,0.28368793441077805,-0.10705337685444066,0.3172232014956738
20250829_162253,131440,131620,1.1991629842370024,-0.3572868894602278,0.05894432405653136,-0.10942260550243936,0.275855791647681,-0.07205612301241342,0.16428009524515408
20250829_162253,131842,131912,0.46634116053661206,-0.11052102667983706,0.2703597581695545,-0.07693319719893449,0.029359848238834096,-0.19355865326282654,0.15108718557030246
20250829_162253,132449,132726,1.845378592409165,-0.24725544294996468,0.034131820872118815,-0.4982264652136381,-0.7412318226333731,-1.2418520752084938,-0.3742653099313926
20250829_162253,144082,144218,0.9060342547568463,-1.1580704667947999,-0.21023888388714077,-0.6455936921530152,0.6599644956934938,-0.37864200900203565,-0.04314862930134771
20250829_162253,144521,144700,1.1925009676579081,-0.608727158428131,0.2276167616276498,-0.09898265785729905,3.4938073833499836,-5.1062675329673395,0.3045946542343452
20250829_162253,147689,147846,1.0459366029178299,-5.925121940734609,-0.15986994162417972,-0.1324509869301938,-0.2399842881148747,-1.6021068975500725,0.13118455713963992
20250829_162253,150184,150292,0.7194977905422015,-2.1593436853187384,0.9794720512044236,-6.412009403606816,4.162062140076141,-0.15146039054420327,-0.3686295724864155
20250829_162253,157724,157860,0.9060342547568463,-0.11172187060394767,-0.06047414130559991,-0.10483828078772135,-0.5766293429859572,0.023321866213189144,4.010440635652627
20250829_162253,159405,159492,0.5795954423812179,-0.8409424960950214,0.00682806307538266,-0.32657853156942646,-0.0235253307216125,0.2253731634762768,-0.04539698616377544
20250829_162253,170509,170751,1.6122080121408588,-3.925098963117801,0.29278610966367474,-0.5773644134350554,3.2114447432354973,0.11004272598640792,0.4636880303286918
20250829_162253,172874,173026,1.0126265200223576,-1.686614078434228,1.0017433101606563,-0.2361687518644766,-0.1520293070993508,-0.5680117516383356,-0.22158173545446322
20250829_162253,173054,173273,1.4589816308216863,-0.36672210720287934,-0.17374900865987478,-0.6726261288288523,-0.03394120963437074,-6.922019154642504,5.785770712389293
20250829_162253,177842,177925,0.55294737606484,-2.3261982590277097,0.7470939310240695,-0.6680317807722965,1.3685370420184686,-10.559609312996361,6.303534654995145
20250903_143938,14431,14469,0.2531583165504914,-1.4982912780171234,-0.022651864780242555,-0.5055751456347853,-0.0019803628084633456,-0.41735701404938663,0.0654871714256495
20250903_143938,15801,15925,0.8260955592700246,-0.7340149857476148,-0.07675061086626696,-0.4772110908499194,-0.23744013937224354,-0.5562048186182494,-0.1157740510038482
20250903_143938,16031,16180,0.9926470833164006,-0.41900071111721027,-0.15729436652028092,-0.394222122589824,-0.10316642991331794,-0.25411584327522474,-0.08143271140443709
