lag_s,male_p25,male_p50,male_p75,female_p25,female_p50,female_p75,far_p50,null_p50,null_p25,null_p75
-5.003224448246273,0.8295402830147366,1.1413840961586623,1.543692557063866,1.0794533490642955,1.6285873650780889,1.8230775461712927,0.9223466182947784,1.003809531574133,0.9680416661262465,1.0396889786650434
-4.996562365092816,0.8219138301294551,1.1413840961586623,1.543692557063866,1.0794533490642955,1.6285873650780889,1.8230775461712927,0.9223466182947784,1.0083846192849713,0.9692583127498919,1.0372033135664716
-4.989900281939359,0.8219138301294551,1.1413840961586623,1.543692557063866,1.076759775868152,1.6285873650780889,1.8230775461712927,0.9223466182947784,1.0059638232517014,0.9712994284137113,1.0379975092092781
-4.9832381987859025,0.8219138301294551,1.1413840961586623,1.543692557063866,1.076759775868152,1.6285873650780889,1.8230775461712927,0.9165651388458234,1.0051189984298383,0.9740964385220724,1.0454416976868448
-4.9765761156324455,0.8030482513550663,1.1454659751557035,1.543692557063866,1.076759775868152,1.6285873650780889,1.8230775461712927,0.9165651388458234,1.0046455062989725,0.970766013453807,1.0434161370028128
-4.9699140324789886,0.8029303209519555,1.1454659751557035,1.543692557063866,1.076759775868152,1.6285873650780889,1.8584117050762603,0.9165651388458234,1.0007091333709452,0.9681139231359305,1.0510820894557793
-4.963251949325531,0.8029303209519555,1.1454659751557035,1.543692557063866,1.076759775868152,1.6285873650780889,1.8594314252785247,0.9165651388458234,1.001595947505467,0.969100106279912,1.0523191211877552
-4.956589866172074,0.8029303209519555,1.076517961404432,1.6504241650082054,1.076759775868152,1.3540793124055717,1.8230775461712927,0.9165651388458234,0.9997599085407158,0.9709212397073965,1.0518305808192245
-4.949927783018617,0.8029303209519555,1.0750549714583713,1.6504241650082054,1.076759775868152,1.3524034850533273,1.8230775461712927,0.9165651388458234,1.0010275064448186,0.9726002837633264,1.050591198838767
-4.94326569986516,0.8029303209519555,1.0750549714583713,1.6504241650082054,1.076759775868152,1.3524034850533273,1.8230775461712927,0.9165651388458234,1.0052910402903306,0.9743760398116779,1.0444863465547896
-4.936603616711703,0.8029303209519555,1.0750549714583713,1.6504241650082054,1.076759775868152,1.3524034850533273,1.8230775461712927,0.8905717292409013,1.0040733825880268,0.9728637576996727,1.042650545601825
-4.929941533558246,0.8219138301294551,1.1653644120550597,1.6504241650082054,1.076759775868152,1.3524034850533273,1.7782904000428912,0.8894458058459978,1.0006438348616298,0.9745115575709272,1.0428150125570568
-4.923279450404789,0.8029303209519555,1.1653644120550597,1.6504241650082054,1.076759775868152,1.3524034850533273,1.7782904000428912,0.8891595558943146,1.0024188177502302,0.9778969241745031,1.0459950942477727
-4.916617367251331,0.8029303209519555,1.1653644120550597,1.6504241650082054,1.036593650646714,1.3524034850533273,1.7782904000428912,0.9187918775144484,1.0060345412666412,0.9782381217592517,1.0526931996757911
-4.909955284097874,0.775103034023475,1.1141348431087053,1.6504241650082054,1.0226792529989095,1.3524034850533273,1.7782904000428912,0.9347907766731114,1.007025045180213,0.9828197694449038,1.0491236328162337
-4.903293200944417,0.7588866366002288,1.1141348431087053,1.6504241650082054,1.0226792529989095,1.3524034850533273,1.822084314644957,0.9347907766731114,1.0073442309697862,0.9869549364821203,1.0495024575225378
-4.89663111779096,0.7145695963453751,1.1454659751557035,1.6504241650082054,1.0226792529989095,1.3524034850533273,1.8230775461712927,0.9521484469176673,1.0076224985527171,0.9865182219377528,1.0512231420603482
-4.889969034637503,0.7145695963453751,1.0769162864312238,1.5554796138488542,1.0226792529989095,1.3524034850533273,1.8230775461712927,0.9585628816893315,1.005425800182537,0.9838878435011009,1.0576740774204971
-4.883306951484046,0.7145695963453751,1.0769162864312238,1.5554796138488542,1.0226792529989095,1.3524034850533273,1.8230775461712927,0.9587966329249968,1.0068127966909173,0.9801003250863572,1.05062145500218
-4.876644868330589,0.7145695963453751,1.0769162864312238,1.7036575355674421,1.0226792529989095,1.3524034850533273,1.8230775461712927,0.9587966329249968,1.0065402784313087,0.9803698494383307,1.0519675703648108
-4.869982785177132,0.7145695963453751,1.0769162864312238,1.705054524076893,1.0226792529989095,1.3524034850533273,1.8230775461712927,0.9259319085347764,1.0028963317032609,0.9825758181604365,1.057439490948523
-4.863320702023675,0.7145695963453751,1.0769162864312238,1.705054524076893,1.0226792529989095,1.3524034850533273,1.621498508904665,0.9273220118433021,1.0014311415121582,0.9852904786964688,1.0503830692553309
-4.856658618870218,0.7611872126442456,1.0769162864312238,1.705054524076893,1.112638559465608,1.3524034850533273,1.6277085325377414,0.898270645231179,1.0020890218515148,0.9852951889417231,1.0519356676604172
-4.849996535716761,0.7608419465243013,1.0599839385887266,1.7061017835814922,1.112638559465608,1.3524034850533273,1.6285873650780889,0.898270645231179,1.002337743851798,0.9847071481675083,1.0492467090875623
-4.843334452563304,0.7608419465243013,1.0592649231338365,1.7061017835814922,1.112638559465608,1.3524034850533273,1.6205133743744824,0.898270645231179,1.0009152801697083,0.9827162730340129,1.048232765835559
-4.836672369409847,0.7608419465243013,1.0592649231338365,1.7061017835814922,1.0204119807597727,1.3524034850533273,1.6205133743744824,0.8889994104208259,0.9978556540454572,0.9834260904013832,1.04250029184182
-4.830010286256389,0.7608419465243013,1.0592649231338365,1.7061017835814922,1.0359623888549523,1.3524034850533273,1.6205133743744824,0.898270645231179,1.003935972549961,0.9835113337554738,1.049483236936091
-4.823348203102932,0.7608419465243013,1.0592649231338365,1.7061017835814922,1.1931257951653942,1.3524034850533273,1.7764524042273697,0.898270645231179,1.0062058294748566,0.9847574066885599,1.0468170834026624
-4.816686119949475,0.7608419465243013,1.0592649231338365,1.7061017835814922,1.1931257951653942,1.3524034850533273,1.7782904000428912,0.8997470371180628,1.0055057812032004,0.9825974487095683,1.0470633688274
-4.810024036796018,0.8083742483746518,1.1281458553775785,1.7061017835814922,1.1931257951653942,1.4476332134027456,1.7782904000428912,0.8997470371180628,1.0053092420430316,0.9838365779756078,1.0481792068643507
-4.803361953642561,0.7748895611890904,1.1128221671268566,1.5554796138488542,1.1931257951653942,1.4476332134027456,1.7782904000428912,0.8997470371180628,1.0052358449134888,0.9862658255276956,1.0467306582414904
-4.796699870489104,0.7567124403397424,1.0592649231338365,1.5554796138488542,1.1931257951653942,1.4476332134027456,1.7782904000428912,0.8997470371180628,1.0087166755619945,0.990033517174652,1.047617865450703
-4.790037787335647,0.7567124403397424,1.0592649231338365,1.5372809390917237,1.1931257951653942,1.4476332134027456,1.7782904000428912,0.8997470371180628,1.0097386860669164,0.9898299679568795,1.0504493042851542
-4.783375704182189,0.7567124403397424,1.0592649231338365,1.5367665104538333,1.1931257951653942,1.4476332134027456,1.7782904000428912,0.9123770724198783,1.008635923632101,0.9823474120400271,1.0558598618960648
-4.776713621028732,0.7748895611890904,1.1124414680712174,1.5367665104538333,1.1931257951653942,1.4476332134027456,1.7782904000428912,0.9123770724198783,1.011953791679355,0.9791406773627598,1.0525635656603562
-4.7700515378752755,0.7748895611890904,1.0781093296431674,1.5367665104538333,1.1931257951653942,1.4476332134027456,1.7782904000428912,0.9123770724198783,1.0144594432753005,0.9785890304995243,1.0484343271634493
-4.7633894547218185,0.7748895611890904,1.0861388697154806,1.6168832850529289,1.1931257951653942,1.6098807616144046,1.7782904000428912,0.9123770724198783,1.0135608944031458,0.9798887182396849,1.0479620386246187
-4.756727371568362,0.7567124403397424,1.0861388697154806,1.617858968393119,1.3524034850533273,1.6128000716589037,1.7782904000428912,0.8997470371180628,1.0114946913643603,0.9749398711087676,1.0476606533396915
-4.750065288414905,0.7567124403397424,1.0598352123915806,1.5367665104538333,1.112638559465608,1.615139663802228,1.7782904000428912,0.8938769582855955,1.0122662824056898,0.9685070076359692,1.0519131984363606
-4.743403205261447,0.7567124403397424,1.0438588436043554,1.5367665104538333,1.112638559465608,1.615139663802228,1.7782904000428912,0.8938769582855955,1.0104935157307033,0.9671552459617045,1.0498127182342691
-4.73674112210799,0.7567124403397424,1.0445751034614321,1.5367665104538333,1.112638559465608,1.615139663802228,1.7782904000428912,0.8938769582855955,1.0077108177130487,0.9707295762444978,1.0460095746056617
-4.730079038954533,0.7567124403397424,1.0594584844665627,1.5135343279117492,1.112638559465608,1.615139663802228,1.941205493146494,0.8938769582855955,1.009329069116022,0.9710532659972226,1.0484839434063933
-4.723416955801076,0.7567124403397424,1.0596464513160078,1.513334980464775,1.112638559465608,1.615139663802228,1.941205493146494,0.8997470371180628,1.0079551538122735,0.9731492536561923,1.0490330786422912
-4.716754872647619,0.7567124403397424,1.0596464513160078,1.513334980464775,1.0794533490642955,1.615139663802228,1.941205493146494,0.8997470371180628,1.0073095901407392,0.9761208909627821,1.0516234799951105
-4.710092789494162,0.7153924792266959,1.0596464513160078,1.513334980464775,1.122326423500698,1.615139663802228,1.98863448573071,0.8785384900149192,1.006984427013653,0.9742657279083826,1.0503050779699585
-4.703430706340705,0.7145695963453751,1.0596464513160078,1.513334980464775,1.1226314830268673,1.615139663802228,1.9876680752977332,0.8746861284433891,1.007489464233816,0.9705570588903925,1.0513716403440672
