speed_bl_s_t0,speed_bl_s_t1,speed_rel_t0,speed_rel_t1
0.2680336547219588,0.27751811564616863,0.5515060296113309,0.45866905962722615
0.04159610474129117,0.3720511835747203,0.08558814226878926,0.6149089262374047
0.1333422582547521,0.4027546037986024,0.27436502145886055,0.6656541139835725
0.7987391564805641,0.0785419176478837,1.6434856337076633,0.1298104357079336
0.22789835378075762,0.2722423011392907,0.4689236371416275,0.4499494383044775
0.1493225988286295,0.04458408708093078,0.3072461691299554,0.073686509610859
0.12471025389090698,0.32334277028987723,0.2566038098705984,0.5344059217208356
0.3629721816228226,0.44464366188142146,0.7468515360648321,0.734886404764955
0.38160898332506915,0.6858879309238732,0.7851986179718478,1.1336037344950172
0.39908401586803954,0.2927819194413963,0.8211552437362497,0.483896366020506
0.42471447689376285,0.13750387880566556,0.8738924785885959,0.22726002819687066
0.1762103542864898,0.11254426910596116,0.606918622564447,0.1949902348259347
1.899408157362429,2.5102147891020667,3.145934596888976,0.6540814882267898
0.2151091742741634,0.23222529292185437,0.5196074985050838,0.7979733035825017
0.7571533864101414,0.7672203350590802,1.8289437371731865,2.63632499991629
0.09518308431572758,0.07061058380002412,0.2299197349819125,0.24263231672079313
0.22839158065954174,0.07294871277056172,0.25560646947561005,0.10412220912645012
0.303915781887776,0.36718531651174247,0.34013005121258855,0.5240962432640198
0.6555279675430635,0.20339591384541508,0.7336399570524386,0.29031399009721914
1.1830485778012236,0.19051077472163072,1.324019341328898,0.2719225874320375
0.1786426382097133,0.29970153637479474,0.19992949792077136,0.4277743206255411
0.5584048987523932,0.1397165680205526,0.6249438105196706,0.19942226752678932
0.49800537315870874,0.3680806106534762,0.5573471440820523,0.5253741274146077
0.3932013775415414,0.2092803032894637,2.3266951636650255,0.2794069858374957
0.3553825946745607,0.23516077486960732,2.102909632336348,0.3139596142626331
0.2902937686057806,0.23592511300514848,1.7177587517119155,0.31498007061354355
0.5364685979757627,0.12889695261635767,3.1744519822708224,0.17208838313064587
0.6097165429255633,0.09575049858011041,3.6078829135881922,0.1278350507916765
0.12762432743389104,0.06998750203017567,0.7551929427690374,0.09343926151282245
0.3221661345487882,0.5304428505130689,1.9063574798186678,0.70818627310527
0.14826309685473288,0.44855400809185336,0.8773189772598423,0.5988577110045794
0.5402851511260588,0.41028339828835797,3.19703571738433,0.5477631953560258
0.161838613592053,0.18728883295598386,0.24965393798053365,0.20477420197758048
0.3829164114141236,0.21449224588330704,0.5906908611308341,0.23451733767520308
0.13748965203825095,0.31417583373883645,0.21209297522435125,0.3435074297762916
0.2876441114844496,0.3268912002357799,0.4437228148161222,0.35740990856356664
0.8796622658678669,0.0974860555156584,1.356976211625036,0.10658739716132795
0.25979080706396984,0.49921047191094836,0.4007560161022407,0.5458169843390532
0.8329943086001873,0.7831809628888836,1.2849857326485428,0.8562990870752833
0.0914034401959301,1.233294857762451,0.1409999028254322,1.348435816035612
1.0694193460577164,0.8440715450932098,1.6496974681757042,0.9228744412063625
0.9399681073250196,0.3348935023977301,1.4500046333894396,0.366159309226349
1.680621837716907,0.8975622356617261,2.5925448243132387,0.9813590465163432
0.6599549528113056,0.9724031955336425,1.0180534126077694,1.063187191799354
0.7464107786613543,0.5206041644544951,1.1514210737966548,0.5692080015653076
0.0561673893649203,0.1131429898438969,0.08664440228328092,0.12370606986528954
0.7721209521446936,0.367635567262432,1.191081856312117,0.40195818787782334
0.14706657839568868,1.816821991361045,0.22686644198742356,1.9864413032234127
0.8520226360636216,0.38116196787640066,1.3143390296089585,0.41674741928920944
0.7956961255828074,0.8074656079722446,1.2274491654280684,0.8828509574605441
0.26457837348088387,0.7364804208013278,0.4081413661296376,0.8052385615385198
0.0835657513524884,0.7630208164385002,0.12890940204195667,0.8342567803559146
0.36359184341812495,0.3191009408585334,0.5608805804265353,0.3488923470944911
0.2580499062384437,0.7507199559915505,0.3980704842808812,0.8208075060884322
0.969754857271924,0.24534998774261665,1.495953985394092,0.26825597208463076
0.5539743941960077,0.19053150061265578,0.8545666944480365,0.2083196065337056
0.1294327777292624,0.40615573336445354,0.19966435664928486,0.4440746138765859
0.16739400397762405,0.17002351608497213,0.2582237412925728,0.18589698741891864
1.3446117783697245,0.09320712253986774,2.074212192469585,0.10190898109346226
1.0462784912401288,0.5755908408526703,1.6140001435062705,0.6293282586095813
0.4982503296899035,0.24378334306981742,0.7686061697286544,0.2665430647660706
0.2173284224270468,0.419755039286296,0.3352530974516048,0.4589435570679226
0.2246914582754557,0.18273667457453582,0.34661139356059584,0.1997970520582596
0.48143953540907775,0.05805980521749341,0.8169443895730012,0.08440101389211462
