cameras,dlt_p25,dlt_p50,dlt_p75,ba_p25,ba_p50,ba_p75,n_sessions,n_values,ratio_ba_over_dlt,stride,keypoints_used
2,2.6355067152821468,4.318906022227249,6.2448226830008,2.7493408748642927,4.4239852974520755,6.383531387996164,50,510402360,1.0243300675411866,15,17013412
3,2.3250681453538498,3.656504103423919,5.083171876791197,2.1698849883274676,3.5349938706160615,5.098081006494071,50,340268240,0.9667687415709239,15,17013412
4,2.0566678180206477,3.3355290931384527,4.716708811161338,1.9039687980560798,3.1468664369786676,4.689745434904118,50,85067060,0.9434384618176814,15,17013412
