cameras,dlt_p50,refined_p50,delta_p50,n
2,3.9193145882390117,4.055055498259736,0.1357409100207243,1417879
3,3.3546321314519103,3.294674642091386,-0.05995748936052436,1417879
4,3.056379779899713,2.9714120006840417,-0.08496777921567134,1417879
