cohort,cohort_label,config,n_sessions,camera_frames,switches,switches_per_100k,switches_pct,misgrouped,misgrouped_per_100k,misgrouped_pct_of_labelled,det_labelled,det_with_bbox,idf1_cross,idf1_within
multi_animal_only,42 multi-animal,shipped,42,4044666,2826,69.86979889068714,0.06986979889068715,849849,21011.598979989943,11.524843637718755,7374061,7452776,0.8395506019596576,0.8386499944517269
multi_animal_only,42 multi-animal,sync_stale20_dist25,42,4044666,1991,49.2253254038776,0.0492253254038776,861224,21292.833573897078,11.680187159882687,7373375,7452776,0.838758786456111,0.8378631242744147
