stratum_kind,stratum,config,n_sessions,camera_frames,idf1_cross,idp_cross,idr_cross,switches,switches_per_100k,misgrouped,misgrouped_per_100k
difficulty,2,shipped,10,888210,0.9868440874898706,0.9998301961149461,0.9742387583978485,10,1.1258598754798979,25,2.8146496886997445
difficulty,3,shipped,3,326154,0.9126651740320221,0.9742538768257557,0.8586108854561595,326,99.95278304114008,24050,7373.817276501285
difficulty,4,shipped,10,963318,0.9217407962420806,0.9492334577044934,0.896098368760585,319,33.11471393662321,233764,24266.545419062033
difficulty,5,shipped,3,216666,0.8387279856112583,0.9103652299365765,0.7795731445809903,100,46.153988166117436,46866,21630.528093932597
difficulty,6,shipped,3,521376,0.7857065042515573,0.8411815799941347,0.7373799561650426,366,70.1988584054502,188729,36198.25231694593
difficulty,7,shipped,13,1128942,0.6587674964078147,0.7834735391069014,0.5705667898470417,1705,151.0263591929435,356415,31570.70956701053
difficulty,2,sync_stale20_dist25,10,888210,0.9868439241835473,0.9998301961004484,0.9742384365642243,10,1.1258598754798979,24,2.7020637011517548
difficulty,3,sync_stale20_dist25,3,326154,0.9096316372510919,0.970766086894181,0.8559538282232481,302,92.59429594608682,47929,14695.205332450314
difficulty,4,sync_stale20_dist25,10,963318,0.9269151055415616,0.9544304561934857,0.9012420825073647,327,33.94517698205577,210161,21816.36801139395
difficulty,5,sync_stale20_dist25,3,216666,0.7456533701232019,0.8108216058777785,0.6922848535394585,116,53.53862627269623,81962,37828.73178071317
difficulty,6,sync_stale20_dist25,3,521376,0.8401052245742324,0.9024031677288641,0.7862227174478255,204,39.12723255385748,111324,21351.960964831524
difficulty,7,sync_stale20_dist25,13,1128942,0.6618544644661541,0.791143208907815,0.5712645947832151,1032,91.41302210388133,409824,36301.59919641576
animals,2,shipped,35,3275604,0.8398732128838723,0.9037916371142604,0.7913080407003791,2136,65.20934765008225,541172,16521.28889816962
animals,3,shipped,4,435480,0.8453398441825256,0.9058714894907858,0.7926290991136112,445,102.18609350601635,104429,23980.205749977038
animals,4,shipped,3,333582,0.8280678182133281,0.865667116630419,0.7937112257449143,245,73.44520987343442,204248,61228.72337236421
animals,2,sync_stale20_dist25,35,3275604,0.8400702763535839,0.9058006594072319,0.7905657062547373,1323,40.38949763158184,523868,15993.01991327401
animals,3,sync_stale20_dist25,4,435480,0.8386811374248433,0.8984925988608787,0.7865762734568809,429,98.51198677321577,137725,31626.02186093506
animals,4,sync_stale20_dist25,3,333582,0.8235616030272866,0.8608157818489283,0.7895081025953178,239,71.64655167245235,199631,59844.65588670852
