recall_shipped_arm,luc3d_shipped_idf1,recall_pre131_arm,luc3d_pre131_idf1,recall_fresh_arm,luc3d_fresh_idf1,sleap_idf1,bytetrack_idf1,animals
1.0,1.0,0.9980137528933777,0.9990049621165271,1.0,1.0,1.0,0.776226319033101,1.0
1.0,1.0,0.9949587011636511,0.9974682091867333,1.0,1.0,1.0,0.8860245840038283,1.0
1.0,1.0,0.994272681196148,0.9971202521165036,1.0,1.0,1.0,0.9940876056983039,1.0
1.0,1.0,0.999041552797438,0.9995203634688877,1.0,1.0,1.0,0.9892676031147247,1.0
1.0,1.0,0.9953865226686117,0.9976840495011147,1.0,1.0,1.0,0.9880728716170238,1.0
1.0,1.0,0.9987218390804599,0.9993602061988032,1.0,1.0,1.0,0.9986877959734147,1.0
0.9992116627249078,0.9994855781900928,0.9996761262432768,0.9998380095490891,0.9992116627249078,0.9994855781900928,0.9207177588142369,0.7117762137069259,2.0
0.9999083841583122,0.999909492657235,0.9984223243741156,0.8997271711375876,0.9999083841583122,0.999909492657235,0.9641695817844823,0.6868794284954775,2.0
0.9998553481973848,0.9998616558815042,0.9996532603311067,0.9998242446504478,0.9998553481973848,0.9998616558815042,0.9401497989018338,0.711842810785127,2.0
0.9986948248471638,0.9990838261752136,0.9996669597937302,0.9990702672436065,0.9986948248471638,0.9990838261752136,0.9484370594570953,0.7469445063554359,2.0
0.9999907415122814,0.9999580735469866,0.9999813472855638,0.999990673120867,0.9999907415122814,0.9999580735469866,0.943923839361474,0.8558562410680564,2.0
0.9996208176134859,0.9996387172534439,0.9951855331480277,0.997517545255605,0.9996208176134859,0.9996387172534439,0.999800914420661,0.6884332512940067,2.0
0.24205067335268374,0.36094081377376425,0.3131787719732622,0.3206205012687611,0.24209123506365024,0.3449710615074757,0.4236854454968133,0.32517722687945405,3.0
0.28441235271137655,0.3956464985752474,0.3057280423934699,0.4442606229101557,0.2943085137526709,0.4350895146738492,0.4494674656323719,0.42717245452401137,3.0
0.4550004998223575,0.5789070112433751,0.5147772102358767,0.6443951079647766,0.455072561963703,0.5902612693726828,0.6514073649471722,0.572589107500714,3.0
0.10000775190667628,0.1382091961276832,0.10660027800961187,0.17779112414475584,0.10139084565727226,0.17679701413725057,0.20462651434664655,0.20020202622664351,4.0
0.14590606718758403,0.23510021304468784,0.15288449836743975,0.24969192288016714,0.14546480719909036,0.2456602831695582,0.2562834959942986,0.2442137968536021,4.0
0.45535037190931105,0.45890311961641744,0.5011956132757917,0.5600314535333956,0.45076131617415904,0.5260664113008967,0.6104153713462527,0.4881853492333101,4.0
0.21196535349482892,0.31949209581495513,0.2229841352383788,0.24257579973208823,0.21390255636486213,0.32789750685645636,0.2594645410860234,0.14898799174645158,2.0
0.03902685365744849,0.07339125967324427,0.0386969844235387,0.053391498953254866,0.039001638263738696,0.07424583956945473,0.0796770999562535,0.06048777142826562,2.0
0.1774989417330953,0.2772727870972271,0.17718650191179064,0.26392236148627024,0.17744604610940315,0.26911682897073935,0.2764251063436505,0.17675118110619178,2.0
0.8666448595419357,0.8892934464344512,0.8600477548216995,0.8857533058957613,0.8671415730468418,0.8895442964994141,0.6563491428281807,0.5791166400457997,1.0
1.0,0.9993039100923581,0.9992331551689722,0.9990121164517731,1.0,0.9993039100923581,0.9482092361735269,0.8772751214471746,2.0
0.7730791370481601,0.8207172597295925,0.7726631267814711,0.8205090991736314,0.7732086674771339,0.8207820467823557,0.513560570594059,0.614371942021282,1.0
0.9998376272842758,0.9998274234873349,0.9988415057640504,0.9630514396420299,0.9998376272842758,0.9998274234873349,0.9214835865794782,0.5018210292918078,2.0
0.9999542652251066,0.9999634101719722,0.9976398089559262,0.998812855944165,0.9999542652251066,0.9999771294746184,0.8308607274774658,0.8656861799311063,1.0
0.9999770155608493,0.9995448477456791,0.9917446187897933,0.9957456330412914,0.9999770155608493,0.9995264751618121,0.9439366006495797,0.6150158361164285,2.0
0.293457617453821,0.3462029051094231,0.3017525593769048,0.2992055242970686,0.2986615802806153,0.3802081105786592,0.26668536399126447,0.09630356246676271,2.0
0.06614851689983695,0.07568617480919583,0.06711504447692317,0.0760656560831843,0.06613443431156259,0.10803861662515064,0.10033860675510052,0.05533713204802326,2.0
0.9998501367424195,0.9500286579007454,0.9913057449214343,0.6728413767985448,0.9998501367424195,0.9914524307901988,0.8045282033759144,0.2667700573301132,2.0
0.04351862746326673,0.06911659724311921,0.046148847114823734,0.08180599734033875,0.042955698228406974,0.0712343191009896,0.08745731659632516,0.07884661214039627,3.0
0.7230796778442153,0.7696527133310692,0.7211117411703541,0.7684901634797859,0.7230700063851133,0.7695937028140061,0.49832403444296847,0.4278764360998644,1.0
0.7686973823586293,0.860074098815343,0.767626894235215,0.8594056459608987,0.7686887698205145,0.8600708124079582,0.651292671286953,0.44672042005877577,1.0
0.06869599274343398,0.12751575366733744,0.06855120458260401,0.12726536963704235,0.06869172699771602,0.1275080877766275,0.12427094368864643,0.10831220500305448,1.0
0.852422518535963,0.9202032609046129,0.8496143572575314,0.9185521751336433,0.8523300394530383,0.9201491228787142,0.5645317802188193,0.2994616989144472,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.8982501452283874,0.9914340488186263,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.9572187998721616,0.9978970272376024,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.9995499117791459,0.9995382266935472,1.0
0.9979245923447335,0.9979130126477949,0.9982688871593806,0.9987762431636659,0.9982708255618095,0.9982592410305969,0.8549155358071735,0.84826925574179,1.0
0.9997338301836572,0.9958762775526311,0.9972955651143974,0.9053371402998645,0.9997338301836572,0.9958763224563839,0.872522160410211,0.4421390966789434,2.0
0.40167818065051025,0.4646047464067686,0.4055199686164208,0.4668259344230643,0.40185907049205044,0.4623958037791745,0.4720028326456139,0.315314298370371,2.0
1.0,0.984749836675209,0.9930450840773343,0.9308715881569967,1.0,0.98470396564162,0.8171079178242179,0.464456993326033,2.0
0.29137564723973214,0.35836117262594236,0.29228854683126543,0.3445126454913767,0.29142462363311056,0.37965703390944117,0.3088992137979451,0.13504026039503847,2.0
0.8723959636811709,0.9087884357927335,0.8630925850693458,0.614703612423905,0.8723959636811709,0.908697708347797,0.7915747717864879,0.3609607384523117,2.0
1.0,1.0,0.9998344817425,0.999917230722219,1.0,1.0,0.9723260986899284,0.9987264705303304,1.0
0.8569237033579943,0.8912116748938536,0.8568624283528731,0.8911676103542164,0.8569545475639102,0.891229033063282,0.7493917207324748,0.7400582529950602,1.0
0.8502880350004146,0.8813019917780426,0.8504001300570131,0.6917703426102356,0.8502880350004146,0.8047252909865922,0.73255713737641,0.40536387111235905,2.0
0.8426528381971511,0.793250059183746,0.8417670709730304,0.6690271637592348,0.8426332939685618,0.8564687591982764,0.7023407399661004,0.2450370478136545,2.0
0.6269440301321634,0.6847182590599082,0.6268403357425992,0.6846351286731127,0.6269349203022212,0.6847109157070164,0.40839125376594176,0.26035669716874044,1.0
0.550975716357937,0.6590547429364602,0.550870686748672,0.6589607167497608,0.5509606852056907,0.6590323781316905,0.3710633541097619,0.2994941721823455,1.0
0.2589885258227644,0.3595787310772663,0.25843911910529493,0.3588735767015001,0.2589946538415564,0.3595835492647104,0.20695559648900744,0.18869235746296553,1.0
0.0073067072502048655,0.014473632967555619,0.007353391201529048,0.01456467625297251,0.0073648332674101655,0.014587194578219422,0.020965127935643122,0.014027465439817104,1.0
0.7524866697185559,0.8176476104129785,0.7509093769442675,0.8168359946907143,0.7524190655835339,0.8175924638965566,0.5113286973278016,0.43079019799808277,1.0
0.8858068388549833,0.9131670549470946,0.8842577190253967,0.9122511354739969,0.8858330786824827,0.9131809475522505,0.6707610170865123,0.5294573324479153,1.0
0.13565170548640812,0.23335741564382226,0.13532802682795944,0.2328608338520024,0.1356547977069199,0.2333618378896528,0.15978927441316834,0.17503614280542,1.0
