dataset,camera,arm,n,q1,median,q3,whislo,whishi,mean,p95,p99
slap8,back,calibrat3,498583,0.6455371081829071,0.7475912570953369,0.8573958575725555,0.47165187895298005,1.0889551043510435,0.8538171052932739,1.0889551639556885,4.560138702392578
slap8,backL,calibrat3,391351,0.528037428855896,0.5859230756759644,0.6467412710189819,0.44126473367214203,0.7706993818283081,0.6035920977592468,0.7706993818283081,1.2411679029464722
slap8,mid,calibrat3,595688,0.25677675008773804,0.31918881833553314,0.38723988085985184,0.16797296553850175,0.6032380223274234,0.3631802499294281,0.603238046169281,1.6296665668487549
slap8,midL,calibrat3,572452,0.45878273248672485,0.547325849533081,0.6247492730617523,0.3277273938059807,0.7699473172426223,0.5741007328033447,0.7699472904205322,1.9245067834854126
slap8,side,calibrat3,469612,0.2746915817260742,0.38124053180217743,0.4939968213438988,0.13929934576153755,0.9388143271207807,0.5318129062652588,0.9388143420219421,4.6054840087890625
slap8,sideL,calibrat3,496964,0.24489101395010948,0.35508911311626434,0.5078968554735184,0.1303470425307751,1.198479092121123,0.5727583765983582,1.1984790563583374,5.169549465179443
slap8,top,calibrat3,592331,0.3230655640363693,0.3986826241016388,0.470057412981987,0.18620993942022324,0.649461030960083,0.44340094923973083,0.649461030960083,2.2233285903930664
slap8,topL,calibrat3,580679,0.381842777132988,0.4559791088104248,0.5279501378536224,0.2347618043422699,0.7051493227481842,0.5019444227218628,0.7051492929458618,2.3159141540527344
slap8,back,anipose,498583,0.316055104136467,0.49634477496147156,0.7795805633068085,0.13663414269685747,9.894363689422592,2.5422019958496094,9.894363403320312,36.66978073120117
slap8,backL,anipose,391351,0.14928551763296127,0.24596133828163147,0.43984444439411163,0.06278252974152565,3.48826003074646,1.0154296159744263,3.48826003074646,16.556812286376953
slap8,mid,anipose,595688,0.21105581149458885,0.3373245298862457,0.6001832336187363,0.08619825765490532,5.953450846672058,1.5920751094818115,5.953450679779053,26.07284927368164
slap8,midL,anipose,572452,0.157294649630785,0.2558582127094269,0.4644538089632988,0.06635703258216381,6.680198788642868,1.554431676864624,6.680198669433594,28.638816833496094
slap8,side,anipose,469612,0.27897436171770096,0.44662216305732727,0.7309890389442444,0.115524385496974,9.096309471130368,2.6137466430664062,9.096309661865234,41.93122863769531
slap8,sideL,anipose,496964,0.284110888838768,0.47560572624206543,0.8498555123806,0.1149196371436119,11.199275827407831,3.8919684886932373,11.199275970458984,71.95581817626953
slap8,top,anipose,592331,0.1037130169570446,0.17001768946647644,0.34108492732048035,0.04325532540678978,7.77832555770874,1.759790301322937,7.77832555770874,34.013336181640625
slap8,topL,anipose,580679,0.11820527166128159,0.19458924233913422,0.37216077744960785,0.04844028726220131,8.396287631988518,1.831093192100525,8.39628791809082,35.058746337890625
calib18,Camera0,calibrat3,30437,0.6795316338539124,0.8333982229232788,0.9862497448921204,0.4045264959335328,1.316964817047119,0.8571950197219849,1.316964864730835,2.1605358123779297
calib18,Camera1,calibrat3,51999,0.27062998712062836,0.4441981911659241,0.6607113778591156,0.10707879066467285,1.4096437692642212,0.7102587223052979,1.4096437692642212,7.241916179656982
calib18,Camera2,calibrat3,34862,0.3116842433810234,0.43982939422130585,0.5685385167598724,0.12305275462567809,0.8512088567018509,0.4775364398956299,0.8512088656425476,1.882882833480835
calib18,Camera3,calibrat3,35273,0.22387456893920898,0.3565189838409424,0.5238767266273499,0.08089361190795899,0.9928638339042674,0.4636828601360321,0.9928638339042664,3.193655252456665
calib18,Camera4,calibrat3,30591,0.29367300868034363,0.43240270018577576,0.5782569348812103,0.11796169355511665,1.0335901379585266,0.5139633417129517,1.0335900783538818,2.8819632530212402
calib18,Camera5,calibrat3,48588,0.764572337269783,0.9272030293941498,1.0738713443279266,0.3805185779929161,1.4450180113315585,1.019639015197754,1.4450180530548096,4.974437236785889
calib18,Camera6,calibrat3,30640,0.2639527693390846,0.3980906009674072,0.5552654415369034,0.1056070689111948,1.141033786535263,0.49606794118881226,1.1410337686538696,2.9470181465148926
calib18,Camera7,calibrat3,38228,0.18985863029956818,0.29666171967983246,0.41866758465766907,0.06841460093855858,0.7088418304920197,0.3508453965187073,0.7088418006896973,1.5627055168151855
calib18,Camera8,calibrat3,32635,0.1936040297150612,0.3487001061439514,0.5306828022003174,0.061450406536459924,0.9407174229621883,0.45543861389160156,0.9407173991203308,3.5462403297424316
calib18,Camera9,calibrat3,32852,0.15188336372375488,0.25387705862522125,0.3881095051765442,0.054922508448362356,0.7290199398994445,0.33330103754997253,0.7290199398994446,2.0770373344421387
calib18,Camera10,calibrat3,34299,0.16726621240377426,0.26503297686576843,0.38130299746990204,0.059691048040986065,0.6508120656013489,0.3109838664531708,0.6508120894432068,1.264469027519226
calib18,Camera11,calibrat3,37110,0.3134257420897484,0.46247313916683197,0.6095079332590103,0.13065530434250833,0.9071226269006721,0.4979207217693329,0.9071226119995117,1.860268235206604
calib18,Camera12,calibrat3,24104,0.6741058975458145,0.8205107152462006,0.9643222689628601,0.3998678013682366,1.2400661170482634,0.8329139947891235,1.2400661706924438,1.6930537223815918
calib18,Camera13,calibrat3,33016,0.16127486526966095,0.27502134442329407,0.4278048276901245,0.0558153772726655,0.8030986785888672,0.3715280592441559,0.8030986785888672,2.664024829864502
calib18,Camera14,calibrat3,31167,0.5613585114479065,0.7040330171585083,0.8599897027015686,0.33237328827381135,1.1252519845962523,0.7216110825538635,1.1252520084381104,1.5096518993377686
calib18,Camera15,calibrat3,30755,0.5780661106109619,0.744339644908905,0.8908744752407074,0.31134640276432035,1.1536513090133667,0.7509462237358093,1.1536513566970825,1.7017271518707275
calib18,Camera16,calibrat3,44519,0.3980596661567688,0.5474821329116821,0.7163852453231812,0.17171807289123536,1.1567978978157043,0.6175229549407959,1.1567978858947754,2.0853164196014404
calib18,Camera17,calibrat3,54442,0.3333541229367256,0.4577658772468567,0.6211181432008743,0.1671709544956684,1.2203487038612355,0.6954808235168457,1.2203487157821655,6.251777172088623
calib18,Camera0,anipose,30437,0.8991202116012573,1.4976520538330078,2.4529550075531006,0.3716303586959839,6.049007034301755,2.141130208969116,6.049006938934326,10.705766677856445
calib18,Camera1,anipose,51999,2.073527455329895,3.4801971912384033,4.750015497207642,0.8016640484333039,7.134735488891601,3.716888427734375,7.134735584259033,11.118109703063965
calib18,Camera2,anipose,34862,0.5990438908338547,0.9909534454345703,1.598996490240097,0.2385679416358471,3.1207018017768844,1.337255597114563,3.120701789855957,7.4677228927612305
calib18,Camera3,anipose,35273,0.5971480011940002,0.9996052384376526,1.6146615743637085,0.23816157579421998,3.6553291320800785,1.3759557008743286,3.6553292274475098,6.498517990112305
calib18,Camera4,anipose,30591,0.9213019609451294,1.3894966840744019,2.1085128784179688,0.3938087671995163,4.2334253787994385,1.766427755355835,4.233425140380859,7.623935222625732
calib18,Camera5,anipose,48588,1.9126144647598267,3.067015767097473,4.121058702468872,0.7503966718912124,7.1969650983810425,3.474032402038574,7.196965217590332,13.735102653503418
calib18,Camera6,anipose,30640,0.6008826941251755,0.9732033312320709,1.5816999971866608,0.24307945221662522,3.0957113981246938,1.2663527727127075,3.0957114696502686,5.774638652801514
calib18,Camera7,anipose,38228,0.5636127889156342,0.9260061681270599,1.434807687997818,0.22452700063586237,3.157201743125917,1.392435073852539,3.1572017669677734,7.93757963180542
calib18,Camera8,anipose,32635,0.5404992401599884,0.9391674995422363,1.5407342910766602,0.19178331196308135,3.307262897491455,1.300667405128479,3.307262897491455,7.369713306427002
calib18,Camera9,anipose,32852,0.7972166240215302,1.3329576253890991,2.1144354939460754,0.3036984235048294,3.992457330226898,1.6958972215652466,3.992457389831543,6.698561668395996
calib18,Camera10,anipose,34299,0.3951907604932785,0.6438919305801392,1.0496791005134583,0.1534053698182106,2.3210670232772816,0.9415556192398071,2.3210670948028564,5.378704071044922
calib18,Camera11,anipose,37110,0.4975324049592018,0.8804292678833008,1.4426569640636444,0.19759288281202317,2.53281066417694,1.1088833808898926,2.532810688018799,4.848506927490234
