animals,mean,ci95_lo,ci95_hi,n_sessions,wins
1,0.14076929164350624,0.09931905931151282,0.1835570437621981,32,25
2,0.034964248326266247,0.007475172498085725,0.06297457808046347,35,23
3,-0.03023384079716259,-0.07871153798503575,-0.00542908098910129,4,0
4,-0.0279369603762931,-0.050383917812857115,-0.0065915731141314715,3,0
