dataset,cameras,tool,detection_s,solve_s,total_s,anipose_detection_s_single_core
cal_test2,8,calibrat3,93.293,150.05599999999998,243.349,
cal_test2,8,anipose,366.11055541038513,106.57367587089539,472.6842312812805,2584.351598739624
calib18,18,calibrat3,308.394,190.73300000000003,499.12700000000007,
calib18,18,anipose,248.42832970619202,65.99626445770264,314.42459416389465,3660.1011826992035
