tracker,within,within_ci95_lo,within_ci95_hi,cross,cross_ci95_lo,cross_ci95_hi,ratio,n_sessions
LUC3D fresh anchor (shipped),0.8611159491414123,0.8258242458447622,0.8964076524380624,0.8612501134978726,0.8259614068607797,0.8965388201349656,1.0001558028934363,50
SLEAP,0.6423274865233078,0.6268437893079475,0.6579770457217259,0.14649832016932757,0.14195200367968516,0.15115084212896898,0.22807418838989954,50
ByteTrack,0.6763339166144169,0.654789236682006,0.7000274699922746,0.1565685361378046,0.15147732570226907,0.16162938766052054,0.231495910957051,50
3D-MuPPET,0.011197556676934053,0.009285419482739152,0.013245835964785306,0.011198219537192584,0.009280180049410424,0.013258931037158174,1.0000591968656785,50
