animals,mean,ci95_lo,ci95_hi,n_sessions,wins
1,0.14168627659718175,0.10015908420154936,0.18445661101726818,32,25
2,0.07483736551880203,0.051685116986182326,0.0991335104282233,35,30
3,-0.05185166795929416,-0.06783050704212898,-0.029441697445666732,4,0
4,-0.07970428429946978,-0.15151225172983523,-0.021183282949610777,3,0
