tracker,idf1
LUC3D,0.01456467625297251
LUC3D,0.053391498953254866
LUC3D,0.0760656560831843
LUC3D,0.08180599734033875
LUC3D,0.12726536963704235
LUC3D,0.17779112414475584
LUC3D,0.20992710665178838
LUC3D,0.2328608338520024
LUC3D,0.24257579973208823
LUC3D,0.24969192288016714
LUC3D,0.26392236148627024
LUC3D,0.2992055242970686
LUC3D,0.3206205012687611
LUC3D,0.3445126454913767
LUC3D,0.3588735767015001
LUC3D,0.4442606229101557
LUC3D,0.4668259344230643
LUC3D,0.47393959719355117
LUC3D,0.5563005919121208
LUC3D,0.5600314535333956
LUC3D,0.5991874386728867
LUC3D,0.614703612423905
LUC3D,0.6443951079647766
LUC3D,0.6589607167497608
LUC3D,0.6690271637592348
LUC3D,0.6728413767985448
LUC3D,0.6846351286731127
LUC3D,0.6917703426102356
LUC3D,0.6978469230761597
LUC3D,0.7684901634797859
LUC3D,0.8168359946907143
LUC3D,0.8205090991736314
LUC3D,0.828704672377271
LUC3D,0.8594056459608987
LUC3D,0.8712586468729792
LUC3D,0.8857533058957613
LUC3D,0.8911676103542164
LUC3D,0.8997271711375876
LUC3D,0.9053371402998645
LUC3D,0.9122511354739969
LUC3D,0.9185521751336433
LUC3D,0.9308715881569967
LUC3D,0.9481715410371042
LUC3D,0.948228797685671
LUC3D,0.9517923198005547
LUC3D,0.9562655073541974
LUC3D,0.9621063058458073
LUC3D,0.9630514396420299
LUC3D,0.9730616277876516
LUC3D,0.9957456330412914
LUC3D,0.9970058265362627
LUC3D,0.9971202521165036
LUC3D,0.9974682091867333
LUC3D,0.9974821632946648
LUC3D,0.997517545255605
LUC3D,0.9976840495011147
LUC3D,0.9977930330558397
LUC3D,0.9981758141616623
LUC3D,0.9987762431636659
LUC3D,0.9987858030213902
LUC3D,0.998812855944165
LUC3D,0.9990049621165271
LUC3D,0.9990121164517731
LUC3D,0.9990702672436065
LUC3D,0.9993602061988032
LUC3D,0.9993646928796934
LUC3D,0.9995203634688877
LUC3D,0.9998242446504478
LUC3D,0.9998380095490891
LUC3D,0.999917230722219
LUC3D,0.999990673120867
LUC3D,1.0
LUC3D,1.0
LUC3D,1.0
SLEAP,0.020965127935643122
SLEAP,0.0796770999562535
SLEAP,0.08745731659632516
SLEAP,0.10033860675510052
SLEAP,0.12427094368864643
SLEAP,0.15978927441316834
SLEAP,0.19204916272706316
SLEAP,0.20462651434664655
SLEAP,0.20695559648900744
SLEAP,0.2562834959942986
SLEAP,0.2594645410860234
SLEAP,0.26668536399126447
SLEAP,0.2764251063436505
SLEAP,0.3088992137979451
SLEAP,0.3710633541097619
SLEAP,0.40839125376594176
SLEAP,0.4236854454968133
SLEAP,0.4494674656323719
SLEAP,0.4551169008214875
SLEAP,0.46093628103975814
SLEAP,0.4615969316166963
SLEAP,0.4720028326456139
SLEAP,0.49832403444296847
SLEAP,0.5113286973278016
SLEAP,0.513560570594059
SLEAP,0.5645317802188193
SLEAP,0.5845897102185388
SLEAP,0.5993178184214449
SLEAP,0.6104153713462527
SLEAP,0.651292671286953
SLEAP,0.6514073649471722
SLEAP,0.6563491428281807
SLEAP,0.6707610170865123
SLEAP,0.675132484903887
SLEAP,0.7023407399661004
SLEAP,0.729300987996425
SLEAP,0.73255713737641
SLEAP,0.7493917207324748
SLEAP,0.7595135699536653
SLEAP,0.7755136547467592
SLEAP,0.7768992111016962
SLEAP,0.783433031965231
SLEAP,0.7915747717864879
SLEAP,0.8045282033759144
SLEAP,0.8171079178242179
SLEAP,0.8308607274774658
SLEAP,0.8549155358071735
SLEAP,0.862931717966831
SLEAP,0.8643298985773789
SLEAP,0.872522160410211
SLEAP,0.8860959610784577
SLEAP,0.8982501452283874
SLEAP,0.9003902298042177
SLEAP,0.9207177588142369
SLEAP,0.9214835865794782
SLEAP,0.9324288484842952
SLEAP,0.9392841826207002
SLEAP,0.9401497989018338
SLEAP,0.943923839361474
SLEAP,0.9439366006495797
SLEAP,0.9482092361735269
SLEAP,0.9484370594570953
SLEAP,0.9572187998721616
SLEAP,0.9641695817844823
SLEAP,0.9723260986899284
SLEAP,0.9857408749844873
SLEAP,0.9995499117791459
SLEAP,0.999800914420661
SLEAP,1.0
SLEAP,1.0
SLEAP,1.0
SLEAP,1.0
SLEAP,1.0
SLEAP,1.0
ByteTrack,0.014027465439817104
ByteTrack,0.05533713204802326
ByteTrack,0.06048777142826562
ByteTrack,0.07884661214039627
ByteTrack,0.09630356246676271
ByteTrack,0.10831220500305448
ByteTrack,0.11755442357948998
ByteTrack,0.13504026039503847
ByteTrack,0.14898799174645158
ByteTrack,0.17503614280542
ByteTrack,0.17675118110619178
ByteTrack,0.18869235746296553
ByteTrack,0.20020202622664351
ByteTrack,0.20115082270921228
ByteTrack,0.201367672965036
ByteTrack,0.23569299753968498
ByteTrack,0.2442137968536021
ByteTrack,0.2450370478136545
ByteTrack,0.26035669716874044
ByteTrack,0.2667700573301132
ByteTrack,0.2994616989144472
ByteTrack,0.2994941721823455
ByteTrack,0.315314298370371
ByteTrack,0.32517722687945405
ByteTrack,0.3274762236646418
ByteTrack,0.3609607384523117
ByteTrack,0.39135970009025006
ByteTrack,0.40536387111235905
ByteTrack,0.42717245452401137
ByteTrack,0.4278764360998644
ByteTrack,0.43079019799808277
ByteTrack,0.4421390966789434
ByteTrack,0.44672042005877577
ByteTrack,0.464456993326033
ByteTrack,0.469605940101288
ByteTrack,0.4863905297405939
ByteTrack,0.4881853492333101
ByteTrack,0.5018210292918078
ByteTrack,0.5294573324479153
ByteTrack,0.5679286125511879
ByteTrack,0.572589107500714
ByteTrack,0.5791166400457997
ByteTrack,0.5932726254277031
ByteTrack,0.614371942021282
ByteTrack,0.6150158361164285
ByteTrack,0.631680945496682
ByteTrack,0.6437557578243499
ByteTrack,0.6583194858173994
ByteTrack,0.6868794284954775
ByteTrack,0.6884332512940067
ByteTrack,0.7117762137069259
ByteTrack,0.711842810785127
ByteTrack,0.7400582529950602
ByteTrack,0.7469445063554359
ByteTrack,0.776226319033101
ByteTrack,0.7954032648093698
ByteTrack,0.8331018131794331
ByteTrack,0.834824891492976
ByteTrack,0.84826925574179
ByteTrack,0.8558562410680564
ByteTrack,0.8607622692072727
ByteTrack,0.8656861799311063
ByteTrack,0.8772751214471746
ByteTrack,0.8860245840038283
ByteTrack,0.9117905701229542
ByteTrack,0.9124680855512312
ByteTrack,0.9880728716170238
ByteTrack,0.9892676031147247
ByteTrack,0.9914340488186263
ByteTrack,0.9940876056983039
ByteTrack,0.9978970272376024
ByteTrack,0.9986877959734147
ByteTrack,0.9987264705303304
ByteTrack,0.9995382266935472
