tracker,within,cross,ratio,n_sessions
LUC3D,0.7493820567067009,0.7492538449691503,0.9998289100514175,50
SLEAP per-camera,0.11543123769429217,0.061566333868000894,0.5333593843206726,50
ByteTrack,0.15741482591882586,0.045696901355521666,0.29029604478987386,50
3D-MuPPET,0.011197556676934053,0.011198219537192584,1.0000591968656785,50
