tracker,term,count,pct_of_camera_frames,camera_frames,fn_share
LUC3D,false positives,37132,0.3166465415498386,11726640,0.9932989717676219
LUC3D,ID switches,1312,0.011188200541672636,11726640,0.9932989717676219
SLEAP,false positives,62320,0.5314395257294502,11726640,0.9881746891569031
SLEAP,ID switches,3608,0.03076755148959975,11726640,0.9881746891569031
ByteTrack,false positives,51049,0.4353250376919561,11726640,0.9888677503715055
ByteTrack,ID switches,12305,0.10493201803756233,11726640,0.9888677503715055
