detector_recall,luc3d_idf1,sleap_idf1,bytetrack_idf1
1.0,1.0,1.0,0.776226319033101
1.0,1.0,1.0,0.8860245840038283
1.0,1.0,1.0,0.9940876056983039
1.0,1.0,1.0,0.9892676031147247
1.0,1.0,1.0,0.9880728716170238
1.0,1.0,1.0,0.9986877959734147
0.9992116627249078,0.9994855781900928,0.9207177588142369,0.7117762137069259
0.9999083841583122,0.999909492657235,0.9641695817844823,0.6868794284954775
0.9998553481973848,0.9998616558815042,0.9401497989018338,0.711842810785127
0.9986948248471638,0.9990838261752136,0.9484370594570953,0.7469445063554359
0.9999907415122814,0.9999580735469866,0.943923839361474,0.8558562410680564
0.9996208176134859,0.9996387172534439,0.999800914420661,0.6884332512940067
0.24209123506365024,0.3449710615074757,0.4236854454968133,0.32517722687945405
0.2943085137526709,0.4350895146738492,0.4494674656323719,0.42717245452401137
0.455072561963703,0.5902612693726828,0.6514073649471722,0.572589107500714
0.10139084565727226,0.17679701413725057,0.20462651434664655,0.20020202622664351
0.14546480719909036,0.2456602831695582,0.2562834959942986,0.2442137968536021
0.45076131617415904,0.5260664113008967,0.6104153713462527,0.4881853492333101
0.21390255636486213,0.32789750685645636,0.2594645410860234,0.14898799174645158
0.039001638263738696,0.07424583956945473,0.0796770999562535,0.06048777142826562
0.17744604610940315,0.26911682897073935,0.2764251063436505,0.17675118110619178
0.8671415730468418,0.8895442964994141,0.6563491428281807,0.5791166400457997
1.0,0.9993039100923581,0.9482092361735269,0.8772751214471746
0.7732086674771339,0.8207820467823557,0.513560570594059,0.614371942021282
0.9998376272842758,0.9998274234873349,0.9214835865794782,0.5018210292918078
0.9999542652251066,0.9999771294746184,0.8308607274774658,0.8656861799311063
0.9999770155608493,0.9995264751618121,0.9439366006495797,0.6150158361164285
0.2986615802806153,0.3802081105786592,0.26668536399126447,0.09630356246676271
0.06613443431156259,0.10803861662515064,0.10033860675510052,0.05533713204802326
0.9998501367424195,0.9914524307901988,0.8045282033759144,0.2667700573301132
0.042955698228406974,0.0712343191009896,0.08745731659632516,0.07884661214039627
0.7230700063851133,0.7695937028140061,0.49832403444296847,0.4278764360998644
0.7686887698205145,0.8600708124079582,0.651292671286953,0.44672042005877577
0.06869172699771602,0.1275080877766275,0.12427094368864643,0.10831220500305448
0.8523300394530383,0.9201491228787142,0.5645317802188193,0.2994616989144472
1.0,1.0,0.8982501452283874,0.9914340488186263
1.0,1.0,0.9572187998721616,0.9978970272376024
1.0,1.0,0.9995499117791459,0.9995382266935472
0.9982708255618095,0.9982592410305969,0.8549155358071735,0.84826925574179
0.9997338301836572,0.9958763224563839,0.872522160410211,0.4421390966789434
0.40185907049205044,0.4623958037791745,0.4720028326456139,0.315314298370371
1.0,0.98470396564162,0.8171079178242179,0.464456993326033
0.29142462363311056,0.37965703390944117,0.3088992137979451,0.13504026039503847
0.8723959636811709,0.908697708347797,0.7915747717864879,0.3609607384523117
1.0,1.0,0.9723260986899284,0.9987264705303304
0.8569545475639102,0.891229033063282,0.7493917207324748,0.7400582529950602
0.8502880350004146,0.8047252909865922,0.73255713737641,0.40536387111235905
0.8426332939685618,0.8564687591982764,0.7023407399661004,0.2450370478136545
0.6269349203022212,0.6847109157070164,0.40839125376594176,0.26035669716874044
0.5509606852056907,0.6590323781316905,0.3710633541097619,0.2994941721823455
0.2589946538415564,0.3595835492647104,0.20695559648900744,0.18869235746296553
0.0073648332674101655,0.014587194578219422,0.020965127935643122,0.014027465439817104
0.7524190655835339,0.8175924638965566,0.5113286973278016,0.43079019799808277
0.8858330786824827,0.9131809475522505,0.6707610170865123,0.5294573324479153
0.1356547977069199,0.2333618378896528,0.15978927441316834,0.17503614280542
0.8598878312186872,0.9070977196448218,0.7595135699536653,0.23569299753968498
0.12407007308660108,0.21972579639003653,0.19204916272706316,0.11755442357948998
0.9567827056873294,0.9751724089100359,0.8643298985773789,0.8607622692072727
0.9326902598324578,0.9578297176787164,0.729300987996425,0.8331018131794331
0.9217660775650467,0.9488866437340132,0.8860959610784577,0.9124680855512312
0.725665119959857,0.8303674685767882,0.675132484903887,0.834824891492976
0.999902415220734,0.9994620846355949,0.783433031965231,0.5932726254277031
1.0,0.9999676585941827,0.9392841826207002,0.6583194858173994
1.0,0.9999767587081215,0.9857408749844873,0.9117905701229542
0.9998338776437402,0.9996673751252695,0.7755136547467592,0.6437557578243499
0.9992878778086474,0.9973391581721097,0.7768992111016962,0.469605940101288
0.9999816784351565,0.9989218905650198,0.9324288484842952,0.631680945496682
0.9999394114626718,0.9988128567405933,0.862931717966831,0.39135970009025006
0.9999727594660855,0.9997317172950066,0.9003902298042177,0.5679286125511879
0.5094216530876414,0.5220276024362244,0.4551169008214875,0.201367672965036
0.6246946974192044,0.7018186658204334,0.4615969316166963,0.20115082270921228
0.5209941713154743,0.5170105448191057,0.46093628103975814,0.3274762236646418
0.9133721120453892,0.9494597131262147,0.5845897102185388,0.4863905297405939
0.8028788239829958,0.8726335158801174,0.5993178184214449,0.7954032648093698
