tracker,idf1,survival_pct
LUC3D pre-#131 (retired),0.01456467625297251,100.0
LUC3D pre-#131 (retired),0.053391498953254866,98.64864864864865
LUC3D pre-#131 (retired),0.0760656560831843,97.29729729729729
LUC3D pre-#131 (retired),0.08180599734033875,95.94594594594595
LUC3D pre-#131 (retired),0.12726536963704235,94.5945945945946
LUC3D pre-#131 (retired),0.17779112414475584,93.24324324324324
LUC3D pre-#131 (retired),0.20992710665178838,91.89189189189189
LUC3D pre-#131 (retired),0.2328608338520024,90.54054054054055
LUC3D pre-#131 (retired),0.24257579973208823,89.1891891891892
LUC3D pre-#131 (retired),0.24969192288016714,87.83783783783784
LUC3D pre-#131 (retired),0.26392236148627024,86.48648648648648
LUC3D pre-#131 (retired),0.2992055242970686,85.13513513513513
LUC3D pre-#131 (retired),0.3206205012687611,83.78378378378379
LUC3D pre-#131 (retired),0.3445126454913767,82.43243243243244
LUC3D pre-#131 (retired),0.3588735767015001,81.08108108108108
LUC3D pre-#131 (retired),0.4442606229101557,79.72972972972973
LUC3D pre-#131 (retired),0.4668259344230643,78.37837837837837
LUC3D pre-#131 (retired),0.47393959719355117,77.02702702702703
LUC3D pre-#131 (retired),0.5563005919121208,75.67567567567568
LUC3D pre-#131 (retired),0.5600314535333956,74.32432432432432
LUC3D pre-#131 (retired),0.5991874386728867,72.97297297297297
LUC3D pre-#131 (retired),0.614703612423905,71.62162162162163
LUC3D pre-#131 (retired),0.6443951079647766,70.27027027027027
LUC3D pre-#131 (retired),0.6589607167497608,68.91891891891892
LUC3D pre-#131 (retired),0.6690271637592348,67.56756756756756
LUC3D pre-#131 (retired),0.6728413767985448,66.21621621621621
LUC3D pre-#131 (retired),0.6846351286731127,64.86486486486487
LUC3D pre-#131 (retired),0.6917703426102356,63.513513513513516
LUC3D pre-#131 (retired),0.6978469230761597,62.16216216216216
LUC3D pre-#131 (retired),0.7684901634797859,60.810810810810814
LUC3D pre-#131 (retired),0.8168359946907143,59.45945945945946
LUC3D pre-#131 (retired),0.8205090991736314,58.108108108108105
LUC3D pre-#131 (retired),0.828704672377271,56.75675675675676
LUC3D pre-#131 (retired),0.8594056459608987,55.4054054054054
LUC3D pre-#131 (retired),0.8712586468729792,54.054054054054056
LUC3D pre-#131 (retired),0.8857533058957613,52.7027027027027
LUC3D pre-#131 (retired),0.8911676103542164,51.351351351351354
LUC3D pre-#131 (retired),0.8997271711375876,50.0
LUC3D pre-#131 (retired),0.9053371402998645,48.648648648648646
LUC3D pre-#131 (retired),0.9122511354739969,47.2972972972973
LUC3D pre-#131 (retired),0.9185521751336433,45.945945945945944
