arm,statistic,value,ci95_lo,ci95_hi,n_sessions,sessions_luc3d_fragments_fewer
pre-#131,mean,23.96846846846847,18.324324324324323,30.042792792792792,74,2
pre-#131,median,14.083333333333332,,,74,2
LUC3D (shipped),mean,6.22972972972973,3.036036036036036,10.36036036036036,74,2
LUC3D (shipped),median,1.3333333333333335,,,74,2
fresh anchor,mean,3.195945945945946,1.3873873873873874,5.128378378378377,74,4
fresh anchor,median,0.9166666666666667,,,74,4
