dataset,cell,n,idf1_mean,idf1_median,idf1_min,acc_mean,sw100k_mean,sw100k_max
bedding,C6_handlabels,4,0.5339,0.5124,0.4928,0.5387,5634.052,6737.589
bedding,C7_cams2,6,0.9588,1.0000,0.7828,0.9588,0.185,0.556
soc1,C7_cams2,14,1.0000,1.0000,0.9997,1.0000,0.120,1.124
soc3,C7_cams2,15,0.9530,1.0000,0.7014,0.9530,1.798,17.978
triads,C7_cams2,6,1.0000,1.0000,0.9997,1.0000,0.093,0.556
bedding,C7_cams3,6,0.9747,1.0000,0.8786,0.9747,0.123,0.370
soc1,C7_cams3,14,0.9911,1.0000,0.8760,0.9911,0.080,0.749
soc3,C7_cams3,15,0.9577,1.0000,0.5012,0.9577,1.074,10.861
triads,C7_cams3,6,1.0000,1.0000,0.9999,1.0000,0.123,0.741
bedding,C7_cams4,6,0.9949,1.0000,0.9697,0.9949,0.046,0.278
soc1,C7_cams4,14,0.9753,1.0000,0.7790,0.9753,0.080,0.562
soc3,C7_cams4,15,0.9559,1.0000,0.5006,0.9559,0.599,5.899
triads,C7_cams4,6,0.9654,1.0000,0.7922,0.9654,0.046,0.278
bedding,C7_cams5,6,0.9810,1.0000,0.8861,0.9810,0.074,0.444
soc1,C7_cams5,14,0.9753,1.0000,0.7790,0.9753,0.064,0.449
soc3,C7_cams5,15,0.9668,1.0000,0.5021,0.9668,0.315,2.472
triads,C7_cams5,6,0.9654,1.0000,0.7922,0.9654,0.037,0.222
bedding,C7b_cams2_sigma10,6,0.8341,0.8586,0.6381,0.8341,2.778,6.667
soc1,C7b_cams2_sigma10,14,0.9068,0.9997,0.5308,0.9068,3.331,21.348
soc3,C7b_cams2_sigma10,15,0.9434,0.9811,0.6417,0.9434,8.951,70.787
triads,C7b_cams2_sigma10,6,0.9561,1.0000,0.7926,0.9561,0.648,3.333
bedding,C7b_cams3_sigma10,6,0.8632,0.8585,0.7290,0.8632,1.481,4.074
soc1,C7b_cams3_sigma10,14,0.8846,0.9998,0.5653,0.8846,1.659,12.734
soc3,C7b_cams3_sigma10,15,0.9574,0.9998,0.7310,0.9574,6.767,59.176
triads,C7b_cams3_sigma10,6,0.9350,1.0000,0.6100,0.9350,0.370,2.222
bedding,C7b_cams4_sigma10,6,0.9713,0.9999,0.8580,0.9713,0.741,3.056
soc1,C7b_cams4_sigma10,14,0.8966,1.0000,0.5654,0.8966,1.023,7.022
soc3,C7b_cams4_sigma10,15,0.9709,1.0000,0.7327,0.9709,4.195,38.483
triads,C7b_cams4_sigma10,6,1.0000,1.0000,0.9999,1.0000,0.139,0.833
bedding,C7b_cams5_sigma10,6,0.9350,0.9848,0.7923,0.9350,0.407,1.333
soc1,C7b_cams5_sigma10,14,0.9409,1.0000,0.5846,0.9409,0.722,4.944
soc3,C7b_cams5_sigma10,15,0.9416,0.9995,0.6681,0.9416,3.311,31.910
triads,C7b_cams5_sigma10,6,1.0000,1.0000,0.9999,1.0000,0.148,0.889
bedding,C7c_cams2_sigma0,6,0.9950,1.0000,0.9697,0.9950,0.093,0.556
soc1,C7c_cams2_sigma0,14,0.9911,1.0000,0.8760,0.9911,0.080,0.562
soc3,C7c_cams2_sigma0,15,0.9981,1.0000,0.9718,0.9981,0.037,0.562
triads,C7c_cams2_sigma0,6,0.9654,1.0000,0.7922,0.9654,0.093,0.556
bedding,C7c_cams3_sigma0,6,0.9950,1.0000,0.9697,0.9950,0.062,0.370
soc1,C7c_cams3_sigma0,14,0.9502,1.0000,0.6482,0.9502,0.080,0.375
soc3,C7c_cams3_sigma0,15,0.9982,1.0000,0.9724,0.9982,0.025,0.375
triads,C7c_cams3_sigma0,6,0.9654,1.0000,0.7922,0.9654,0.062,0.370
bedding,C7c_cams4_sigma0,6,0.9950,1.0000,0.9697,0.9950,0.046,0.278
soc1,C7c_cams4_sigma0,14,0.9660,1.0000,0.6482,0.9660,0.060,0.562
soc3,C7c_cams4_sigma0,15,0.9982,1.0000,0.9724,0.9982,0.019,0.281
triads,C7c_cams4_sigma0,6,0.9654,1.0000,0.7922,0.9654,0.046,0.278
bedding,C7c_cams5_sigma0,6,0.9950,1.0000,0.9697,0.9950,0.037,0.222
soc1,C7c_cams5_sigma0,14,0.9660,1.0000,0.6482,0.9660,0.032,0.225
soc3,C7c_cams5_sigma0,15,0.9982,1.0000,0.9724,0.9982,0.015,0.225
triads,C7c_cams5_sigma0,6,0.9654,1.0000,0.7922,0.9654,0.037,0.222
bedding,C7d_cams2_drop25,6,0.7480,0.7892,0.5074,0.8732,51.120,165.560
soc1,C7d_cams2_drop25,14,0.6912,0.7376,0.4291,0.8063,68.647,512.296
soc3,C7d_cams2_drop25,15,0.7653,0.8334,0.4652,0.8928,19.531,82.848
triads,C7d_cams2_drop25,6,0.7979,0.8561,0.6799,0.9306,42.415,119.202
bedding,C7d_cams3_drop25,6,0.8078,0.8257,0.5622,0.8348,5.516,10.877
soc1,C7d_cams3_drop25,14,0.8600,0.9674,0.4842,0.8886,6.137,26.003
soc3,C7d_cams3_drop25,15,0.9417,0.9676,0.7025,0.9731,5.905,17.964
triads,C7d_cams3_drop25,6,0.9339,0.9675,0.7681,0.9650,16.221,52.634
bedding,C7d_cams4_drop25,6,0.8620,0.8852,0.6196,0.8688,3.210,9.265
soc1,C7d_cams4_drop25,14,0.8891,0.9742,0.4972,0.8962,7.386,70.447
soc3,C7d_cams4_drop25,15,0.9852,0.9920,0.9481,0.9930,3.134,9.744
triads,C7d_cams4_drop25,6,0.9691,0.9920,0.8549,0.9768,3.151,16.130
bedding,C7d_cams5_drop25,6,0.8712,0.9377,0.6218,0.8729,1.037,1.778
soc1,C7d_cams5_drop25,14,0.9478,0.9979,0.5238,0.9497,2.021,13.014
soc3,C7d_cams5_drop25,15,0.9657,0.9980,0.6998,0.9676,2.117,14.680
triads,C7d_cams5_drop25,6,0.9887,0.9980,0.9421,0.9906,0.568,2.373
bedding,C7d_cams6_drop25,6,0.8349,0.9544,0.5156,0.8353,1.029,2.717
soc1,C7d_cams6_drop25,14,0.9739,0.9995,0.7639,0.9744,0.615,2.496
soc3,C7d_cams6_drop25,15,0.9705,0.9995,0.5933,0.9710,0.865,3.244
triads,C7d_cams6_drop25,6,0.9763,0.9995,0.8610,0.9768,0.309,0.987
bedding,C7e_cams2_s3drop25,6,0.6685,0.6629,0.4723,0.7800,158.149,869.247
soc1,C7e_cams2_s3drop25,14,0.7253,0.8324,0.4318,0.8463,25.216,121.797
soc3,C7e_cams2_s3drop25,15,0.7378,0.8082,0.4573,0.8608,44.263,376.717
triads,C7e_cams2_s3drop25,6,0.7932,0.8344,0.5654,0.9251,5.494,21.865
bedding,C7e_cams3_s3drop25,6,0.8580,0.9473,0.5509,0.8867,5.844,14.311
soc1,C7e_cams3_s3drop25,14,0.8941,0.9673,0.5341,0.9240,18.746,155.339
soc3,C7e_cams3_s3drop25,15,0.9373,0.9675,0.5452,0.9686,9.507,37.486
triads,C7e_cams3_s3drop25,6,0.8330,0.8891,0.5174,0.8609,7.331,17.053
bedding,C7e_cams4_s3drop25,6,0.8255,0.8530,0.6177,0.8321,2.808,5.924
soc1,C7e_cams4_s3drop25,14,0.8762,0.9919,0.4967,0.8831,2.688,9.731
soc3,C7e_cams4_s3drop25,15,0.9712,0.9920,0.8783,0.9789,3.895,26.220
triads,C7e_cams4_s3drop25,6,0.9577,0.9921,0.7857,0.9653,1.142,5.557
bedding,C7e_cams5_s3drop25,6,0.9073,0.9357,0.7740,0.9091,1.161,2.372
soc1,C7e_cams5_s3drop25,14,0.9494,0.9980,0.6083,0.9513,1.413,6.595
soc3,C7e_cams5_s3drop25,15,0.9210,0.9980,0.5665,0.9229,2.009,11.698
triads,C7e_cams5_s3drop25,6,0.9886,0.9980,0.9422,0.9905,0.593,2.371
bedding,C7f_cams2_s3drop10,6,0.8720,0.8898,0.7502,0.9206,1.955,3.085
soc1,C7f_cams2_s3drop10,14,0.8850,0.9471,0.5782,0.9342,2.674,14.967
soc3,C7f_cams2_s3drop10,15,0.8997,0.9472,0.6647,0.9497,18.857,98.651
triads,C7f_cams2_s3drop10,6,0.9323,0.9468,0.8583,0.9843,11.164,58.653
bedding,C7f_cams3_s3drop10,6,0.8831,0.9839,0.5129,0.8875,1.234,4.936
soc1,C7f_cams3_s3drop10,14,0.9654,0.9949,0.7749,0.9703,0.743,3.328
soc3,C7f_cams3_s3drop10,15,0.9786,0.9949,0.8840,0.9836,6.049,44.946
triads,C7f_cams3_s3drop10,6,0.9605,0.9950,0.7878,0.9653,1.885,10.696
bedding,C7f_cams4_s3drop10,6,0.9094,0.9995,0.5152,0.9098,0.308,0.926
soc1,C7f_cams4_s3drop10,14,0.9417,0.9995,0.5149,0.9422,0.268,1.248
soc3,C7f_cams4_s3drop10,15,0.9561,0.9995,0.5223,0.9566,1.258,9.980
triads,C7f_cams4_s3drop10,6,0.9484,0.9995,0.6926,0.9488,7.666,45.532
bedding,C7f_cams5_s3drop10,6,0.9358,0.9848,0.7362,0.9359,0.206,0.740
soc1,C7f_cams5_s3drop10,14,0.9841,0.9999,0.7788,0.9842,0.178,0.499
soc3,C7f_cams5_s3drop10,15,0.9578,0.9999,0.5006,0.9579,1.632,17.986
triads,C7f_cams5_s3drop10,6,0.9653,0.9999,0.7922,0.9654,0.041,0.247
bedding,C8_drop50_sigma0,6,0.7990,0.7594,0.6523,0.8118,6.848,13.701
soc1,C8_drop50_sigma0,14,0.8425,0.8919,0.5487,0.8560,6.216,18.874
soc3,C8_drop50_sigma0,15,0.9172,0.9494,0.7339,0.9320,8.813,30.676
triads,C8_drop50_sigma0,6,0.8704,0.9371,0.6828,0.8844,3.732,14.437
